average,totals,averages,balance
0.07258243318248292,"{'buying': 78981.6385539859, 'selling': 52290.57367659669, 'baseload_ppa': 31878.2046537465}","{'buying': 0.05988341755333395, 'selling': 0.09031889917612974}",58569.26953113571
0.07112158856771687,"{'buying': 81078.38396550772, 'selling': 54632.72809925576, 'baseload_ppa': 31236.60169894125}","{'buying': 0.0603107500028702, 'selling': 0.0872022203030332}",57682.257565193206
0.0736767149459036,"{'buying': 81235.59943187649, 'selling': 55429.330759038945, 'baseload_ppa': 32358.813204240858}","{'buying': 0.06061847394004039, 'selling': 0.09145145095709582}",58165.081877078395
0.07086187084409125,"{'buying': 76406.94583964408, 'selling': 54845.57632977709, 'baseload_ppa': 31122.533674724877}","{'buying': 0.057420388055642126, 'selling': 0.08831361313406765}",52683.903184591865
0.07461239138864742,"{'buying': 81315.6669768324, 'selling': 55915.83177044637, 'baseload_ppa': 32769.76229789395}","{'buying': 0.061897721951333494, 'selling': 0.09266193868438147}",58169.597504279984
0.07258243318248292,"{'buying': 78981.6385539859, 'selling': 52290.57367659669, 'baseload_ppa': 31878.2046537465}","{'buying': 0.05988341755333395, 'selling': 0.09031889917612974}",58569.26953113571
0.07112158856771687,"{'buying': 81078.38396550772, 'selling': 54632.72809925576, 'baseload_ppa': 31236.60169894125}","{'buying': 0.0603107500028702, 'selling': 0.0872022203030332}",57682.257565193206
0.0736767149459036,"{'buying': 81235.59943187649, 'selling': 55429.330759038945, 'baseload_ppa': 32358.813204240858}","{'buying': 0.06061847394004039, 'selling': 0.09145145095709582}",58165.081877078395
0.07086187084409125,"{'buying': 76406.94583964408, 'selling': 54845.57632977709, 'baseload_ppa': 31122.533674724877}","{'buying': 0.057420388055642126, 'selling': 0.08831361313406765}",52683.903184591865
0.07461239138864742,"{'buying': 81315.6669768324, 'selling': 55915.83177044637, 'baseload_ppa': 32769.76229789395}","{'buying': 0.061897721951333494, 'selling': 0.09266193868438147}",58169.597504279984
0.07006653639698199,"{'buying': 76294.47546608491, 'selling': 57505.124607338286, 'baseload_ppa': 30773.222785554488}","{'buying': 0.05708528258208618, 'selling': 0.08823289414484368}",49562.57364430112
0.07268178657122748,"{'buying': 80169.92481787485, 'selling': 59119.02668069691, 'baseload_ppa': 31921.84066208311}","{'buying': 0.05945914384348847, 'selling': 0.09154148875443853}",52972.73879926105
0.07379678656471203,"{'buying': 82383.87313741399, 'selling': 59327.93860961935, 'baseload_ppa': 32411.548659221524}","{'buying': 0.061074613334109774, 'selling': 0.09185239648576136}",55467.48318701617
0.07473895914216154,"{'buying': 83599.80720104584, 'selling': 53562.7844532806, 'baseload_ppa': 32825.350855237346}","{'buying': 0.0636416068784378, 'selling': 0.09094112076866932}",62862.3736030026
0.07078467656348167,"{'buying': 76188.7706128336, 'selling': 53861.159866565606, 'baseload_ppa': 31088.62994668115}","{'buying': 0.057792745742527, 'selling': 0.08924461991428267}",53416.24069294914
0.07294789060781186,"{'buying': 81817.36756581272, 'selling': 56366.85769668771, 'baseload_ppa': 32038.71355495097}","{'buying': 0.061741410379370525, 'selling': 0.0891398538617901}",57489.22342407598
0.07473706727237782,"{'buying': 83650.56988942552, 'selling': 59728.957647902236, 'baseload_ppa': 32824.51994602834}","{'buying': 0.06212416652158871, 'selling': 0.09247887792988733}",56746.13218755163
0.0766373305627149,"{'buying': 85945.85049144662, 'selling': 54399.10296235493, 'baseload_ppa': 33659.11558314439}","{'buying': 0.06443900247578294, 'selling': 0.094966228554845}",65205.863112236075
0.07189604049126185,"{'buying': 81672.08161284671, 'selling': 52304.97432121626, 'baseload_ppa': 31576.740983762204}","{'buying': 0.0604907750078987, 'selling': 0.09017322141409834}",60943.848275392666
0.07563997542255377,"{'buying': 85426.42561384734, 'selling': 56851.336613717045, 'baseload_ppa': 33221.077205585614}","{'buying': 0.06347080021121101, 'selling': 0.09208279707148227}",61796.16620571592
0.07296939818097736,"{'buying': 80218.44732695047, 'selling': 55927.14483130872, 'baseload_ppa': 32048.159681085257}","{'buying': 0.06090099887056425, 'selling': 0.09112068705476839}",56339.462176727015
0.07259067346469597,"{'buying': 78830.89256366523, 'selling': 56410.78460049304, 'baseload_ppa': 31881.82378569447}","{'buying': 0.060156218722414175, 'selling': 0.089770214398031}",54301.93174886665
0.06938381287185001,"{'buying': 77084.58430409084, 'selling': 55264.33038732665, 'baseload_ppa': 30473.370613316525}","{'buying': 0.057477716327493066, 'selling': 0.08691285610143198}",52293.62453008071
0.072979536535787,"{'buying': 81049.15007620964, 'selling': 55418.097309451434, 'baseload_ppa': 32052.612446517647}","{'buying': 0.06121805874484326, 'selling': 0.090115857900257}",57683.665213275846
0.0722634120326946,"{'buying': 77492.15838974866, 'selling': 55683.139076982254, 'baseload_ppa': 31738.090564759466}","{'buying': 0.059621206587032245, 'selling': 0.09069841110936007}",53547.109877525865
0.0726406494639999,"{'buying': 79080.49263631381, 'selling': 57640.33841082829, 'baseload_ppa': 31903.773244588756}","{'buying': 0.06053520977761089, 'selling': 0.0900531236000445}",53343.92747007427
0.07572317346411124,"{'buying': 85427.5727513907, 'selling': 57015.48302194096, 'baseload_ppa': 33257.61778543766}","{'buying': 0.0638945142214225, 'selling': 0.09333088708364967}",61669.7075148874
0.0727995402828716,"{'buying': 79076.04191651425, 'selling': 57302.66655811843, 'baseload_ppa': 31973.558092237206}","{'buying': 0.060655405437714555, 'selling': 0.09011326263233307}",53746.93345063303
0.07180856569818783,"{'buying': 82618.65954447736, 'selling': 52323.58345878923, 'baseload_ppa': 31538.322054644097}","{'buying': 0.060605321076244924, 'selling': 0.08868999378353758}",61833.398140332225
0.07063008435742449,"{'buying': 79064.26934201746, 'selling': 57966.88943789419, 'baseload_ppa': 31020.733049780836}","{'buying': 0.058481977955514554, 'selling': 0.08698676376525863}",52118.112953904114
0.07214665244340006,"{'buying': 83604.7856674621, 'selling': 55768.84998716473, 'baseload_ppa': 31686.809753141304}","{'buying': 0.06022498061499814, 'selling': 0.090369754647615}",59522.74543343868
0.07361188003812404,"{'buying': 88252.76397275811, 'selling': 54388.944006727674, 'baseload_ppa': 32330.337712744076}","{'buying': 0.06254620424123174, 'selling': 0.08987578265484482}",66194.15767877451
0.07608964763868484,"{'buying': 84812.21696983147, 'selling': 60817.676171191946, 'baseload_ppa': 33418.57324291038}","{'buying': 0.06198583260523287, 'selling': 0.09523416142531166}",57413.1140415499
