average,totals,averages,balance,fuel_emissions_intensity
0.07258243318248292,"{'buying': 23638.32410458908, 'selling': 98335.00895628151, 'baseload_ppa': 31878.2046537465}","{'buying': 0.04143072881419537, 'selling': 0.0748930125909276}",-42818.48019794593,-0.07023284618101731
0.07112158856771687,"{'buying': 24081.979284994653, 'selling': 100498.75815896195, 'baseload_ppa': 31236.60169894125}","{'buying': 0.041897912231654066, 'selling': 0.07409168706220101}",-45180.17717502605,-0.07502606372510487
0.0736767149459036,"{'buying': 24501.688869701193, 'selling': 102038.5120645392, 'baseload_ppa': 32358.813204240858}","{'buying': 0.04208374890675272, 'selling': 0.07554651029840712}",-45178.00999059715,-0.07519877210033489
0.07086187084409125,"{'buying': 24388.565792633817, 'selling': 100652.61578014327, 'baseload_ppa': 31122.533674724877}","{'buying': 0.041307376875125326, 'selling': 0.07260241751689726}",-45141.51631278457,-0.07529359610092431
0.07461239138864742,"{'buying': 25081.622562211724, 'selling': 103613.93957690638, 'baseload_ppa': 32769.76229789395}","{'buying': 0.04557303802893003, 'selling': 0.07734150432655339}",-45762.55471680072,-0.07755683786011398
0.07006653639698199,"{'buying': 27667.418742722177, 'selling': 101158.60466950598, 'baseload_ppa': 30773.222785554488}","{'buying': 0.042370192792355474, 'selling': 0.07325219681305921}",-42717.96314122931,-0.06611725714758894
0.07268178657122748,"{'buying': 23462.50860734217, 'selling': 104933.64632780896, 'baseload_ppa': 31921.84066208311}","{'buying': 0.04077857677530391, 'selling': 0.07609548102291887}",-49549.29705838369,-0.08269074649614852
0.07379678656471203,"{'buying': 25337.102541440454, 'selling': 105774.17843210632, 'baseload_ppa': 32411.548659221524}","{'buying': 0.04347945153600354, 'selling': 0.07690296348715527}",-48025.52723144434,-0.07985665356657795
0.07473895914216154,"{'buying': 27352.689970092455, 'selling': 101897.66013839385, 'baseload_ppa': 32825.350855237346}","{'buying': 0.047720560876915875, 'selling': 0.07556748359749514}",-41719.61931306405,-0.06964878015536581
0.07078467656348167,"{'buying': 22124.99721062867, 'selling': 99778.79569549033, 'baseload_ppa': 31088.62994668115}","{'buying': 0.038979953264073795, 'selling': 0.07369939031837527}",-46565.168538180515,-0.07726977033058459
0.07294789060781186,"{'buying': 26467.390100639157, 'selling': 103194.58461977843, 'baseload_ppa': 32038.71355495097}","{'buying': 0.04618706661262993, 'selling': 0.07517752656773714}",-44688.480964188304,-0.07460514351283529
0.07473706727237782,"{'buying': 27848.87666316065, 'selling': 107163.92436130824, 'baseload_ppa': 32824.51994602834}","{'buying': 0.047298189766942916, 'selling': 0.076994700974393}",-46490.52775211925,-0.07761356886831268
0.0766373305627149,"{'buying': 26912.31614096175, 'selling': 104728.06431325621, 'baseload_ppa': 33659.11558314439}","{'buying': 0.04711522974117705, 'selling': 0.07923948205040927}",-44156.632589150075,-0.07264223402039385
0.07189604049126185,"{'buying': 25433.868328686538, 'selling': 99960.48412116322, 'baseload_ppa': 31576.740983762204}","{'buying': 0.04296176193205535, 'selling': 0.07519628815118926}",-42949.87480871448,-0.06899484186151199
0.07563997542255377,"{'buying': 27951.722729268833, 'selling': 102510.39848490321, 'baseload_ppa': 33221.077205585614}","{'buying': 0.047263448613851206, 'selling': 0.07772770965170708}",-41337.598550048766,-0.06897839552930896
0.07296939818097736,"{'buying': 24345.55106550317, 'selling': 102977.23650021844, 'baseload_ppa': 32048.159681085257}","{'buying': 0.04407092515537383, 'selling': 0.07600617936432146}",-46583.52575363001,-0.07773775962929129
0.07259067346469597,"{'buying': 24447.22085549899, 'selling': 102931.37028589341, 'baseload_ppa': 31881.82378569447}","{'buying': 0.04243862516008406, 'selling': 0.07475805643032987}",-46602.32564469996,-0.07780020975742911
0.06938381287185001,"{'buying': 23828.538871936213, 'selling': 100658.49835019719, 'baseload_ppa': 30473.370613316525}","{'buying': 0.04090817901571732, 'selling': 0.07193632795426876}",-46356.58886494445,-0.07625598849375384
0.072979536535787,"{'buying': 26397.411865045564, 'selling': 102919.01063698957, 'baseload_ppa': 32052.612446517647}","{'buying': 0.046014998360369715, 'selling': 0.07516413279715478}",-44468.986325426355,-0.07412805491254922
0.0722634120326946,"{'buying': 24283.88615759207, 'selling': 102528.1277909765, 'baseload_ppa': 31738.090564759466}","{'buying': 0.04328995512862747, 'selling': 0.07456849101402645}",-46506.15106862497,-0.07752070785512194
