average,totals,averages,balance,fuel_emissions_intensity
0.07258243318248292,"{'buying': 38888.137860573835, 'selling': 76967.54924093926, 'baseload_ppa': 31878.2046537465}","{'buying': 0.05051837645632831, 'selling': 0.08113984863841864}",-6201.206726618926,-0.0071780600048787346
0.07112158856771687,"{'buying': 40696.570090405956, 'selling': 79276.50016831915, 'baseload_ppa': 31236.60169894125}","{'buying': 0.05262524385461662, 'selling': 0.07849417098297992}",-7343.328378971943,-0.008661144886989658
0.0736767149459036,"{'buying': 38150.87888172405, 'selling': 81395.15327448679, 'baseload_ppa': 32358.813204240858}","{'buying': 0.05070589438964993, 'selling': 0.08210460790716292}",-10885.461188521876,-0.012966599224977029
0.07086187084409125,"{'buying': 37490.25306993216, 'selling': 79479.58082138332, 'baseload_ppa': 31122.533674724877}","{'buying': 0.0489570014725234, 'selling': 0.0789501954387511}",-10866.794076726292,-0.012788285550621028
0.07461239138864742,"{'buying': 38566.944719647145, 'selling': 83204.53704628038, 'baseload_ppa': 32769.76229789395}","{'buying': 0.0525362172199815, 'selling': 0.08301658848062198}",-11867.830028739292,-0.014380019421712473
0.07006653639698199,"{'buying': 40350.78364973797, 'selling': 81454.09765555793, 'baseload_ppa': 30773.222785554488}","{'buying': 0.04876467014943041, 'selling': 0.07968595009192199}",-10330.091220265473,-0.011652577808971137
0.07268178657122748,"{'buying': 37763.02942584851, 'selling': 85349.89343085221, 'baseload_ppa': 31921.84066208311}","{'buying': 0.049620463066921076, 'selling': 0.08188271959284188}",-15665.023342920598,-0.018768819589829813
0.07379678656471203,"{'buying': 40940.79275461364, 'selling': 85072.39679640645, 'baseload_ppa': 32411.548659221524}","{'buying': 0.05167125929787848, 'selling': 0.08341660049312638}",-11720.055382571285,-0.01368987533564718
0.07473895914216154,"{'buying': 37340.57513515904, 'selling': 81223.66261376409, 'baseload_ppa': 32825.350855237346}","{'buying': 0.052482783737167756, 'selling': 0.08268560795335878}",-11057.736623367702,-0.013381216158017836
0.07078467656348167,"{'buying': 34689.90466687265, 'selling': 79874.436050741, 'baseload_ppa': 31088.62994668115}","{'buying': 0.04755998912001384, 'selling': 0.07950532026935019}",-14095.901437187204,-0.016921137699809803
0.07294789060781186,"{'buying': 37001.12186826234, 'selling': 83344.42306856516, 'baseload_ppa': 32038.71355495097}","{'buying': 0.05093670270373266, 'selling': 0.08140867864122654}",-14304.587645351843,-0.017328741923340107
0.07473706727237782,"{'buying': 40090.935609773594, 'selling': 87913.0926111902, 'baseload_ppa': 32824.51994602834}","{'buying': 0.052060362246773975, 'selling': 0.08311592253068265}",-14997.637055388259,-0.018038742360740222
0.0766373305627149,"{'buying': 41225.492964519566, 'selling': 82622.28134531586, 'baseload_ppa': 33659.11558314439}","{'buying': 0.05460939060744881, 'selling': 0.08573146990877853}",-7737.672797651903,-0.00908191853373705
0.07189604049126185,"{'buying': 39697.20657968207, 'selling': 79176.3783180055, 'baseload_ppa': 31576.740983762204}","{'buying': 0.0517062862669649, 'selling': 0.08068606484414663}",-7902.430754561239,-0.009203541188458151
0.07563997542255377,"{'buying': 41810.93493781421, 'selling': 81920.74956288433, 'baseload_ppa': 33221.077205585614}","{'buying': 0.053663567844330455, 'selling': 0.08363941638146936}",-6888.737419484503,-0.008230962263163239
0.07296939818097736,"{'buying': 36585.06623271474, 'selling': 82182.7509508531, 'baseload_ppa': 32048.159681085257}","{'buying': 0.05087617704621234, 'selling': 0.08219790052539998}",-13549.5250370531,-0.016238056708055386
0.07259067346469597,"{'buying': 36857.14218921599, 'selling': 82052.4511759115, 'baseload_ppa': 31881.82378569447}","{'buying': 0.05022281182168176, 'selling': 0.08072157522393873}",-13313.485201001036,-0.015988364035205795
0.06938381287185001,"{'buying': 37760.18619750913, 'selling': 82226.5110173774, 'baseload_ppa': 30473.370613316525}","{'buying': 0.04895124113833788, 'selling': 0.07743361787062397}",-13992.954206551745,-0.01655828127306348
0.072979536535787,"{'buying': 40152.66868072842, 'selling': 81998.32525571212, 'baseload_ppa': 32052.612446517647}","{'buying': 0.05307798754605474, 'selling': 0.08107374634586394}",-9793.044128466048,-0.011609141241035919
0.0722634120326946,"{'buying': 35761.33706234507, 'selling': 83123.87538752737, 'baseload_ppa': 31738.090564759466}","{'buying': 0.04974282624617199, 'selling': 0.08047537024916311}",-15624.44776042283,-0.018931840252541916
