baseload,buy,sell,ppa
75.62036873861567,"{'dayahead': 32.500223906036425, 'balancing': 75.92129175741836}","{'dayahead': 95.59280744694102, 'balancing': 34.912811889255735}","{'SolarPower': 54.50991557634984, 'WindPower': 60.50845040852537, 'NuclearPower': 75.62036873861567}"
72.38777356557377,"{'dayahead': 30.664256198101363, 'balancing': 71.24145585461464}","{'dayahead': 92.41631728165716, 'balancing': 31.882536847483777}","{'SolarPower': 46.723731906454944, 'WindPower': 63.24286798701659, 'NuclearPower': 72.38777356557378}"
77.80831341074682,"{'dayahead': 31.763419915275694, 'balancing': 82.89737953334739}","{'dayahead': 98.03676170227774, 'balancing': 36.718518400223985}","{'SolarPower': 52.08378488450614, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,"{'dayahead': 28.323820084921774, 'balancing': 72.46606081267365}","{'dayahead': 92.16753627788394, 'balancing': 33.501461229714685}","{'SolarPower': 49.31381354615875, 'WindPower': 61.43090193320811, 'NuclearPower': 72.5976247723133}"
78.9044114298725,"{'dayahead': 35.45461606160066, 'balancing': 90.12855351941202}","{'dayahead': 98.55527894952543, 'balancing': 37.7519235603657}","{'SolarPower': 52.20203353782881, 'WindPower': 68.66180646621245, 'NuclearPower': 78.9044114298725}"
72.32751297814208,"{'dayahead': 27.895742507408723, 'balancing': 77.41308326927958}","{'dayahead': 95.15130947272829, 'balancing': 32.25559416656033}","{'SolarPower': 52.17719969253697, 'WindPower': 61.31545692658726, 'NuclearPower': 72.32751297814208}"
77.09319285063751,"{'dayahead': 30.98482396754727, 'balancing': 88.61571705509348}","{'dayahead': 98.24405489935779, 'balancing': 34.21548393246948}","{'SolarPower': 53.6751782240535, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,"{'dayahead': 31.558284457471487, 'balancing': 81.99788637689706}","{'dayahead': 100.02713690295371, 'balancing': 35.27129722063913}","{'SolarPower': 54.98282175381289, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,"{'dayahead': 42.246046065388754, 'balancing': 84.17008160660775}","{'dayahead': 96.48347859929423, 'balancing': 39.74918511792905}","{'SolarPower': 54.09309442944297, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,"{'dayahead': 28.133955717724405, 'balancing': 67.229772422075}","{'dayahead': 91.97960614758368, 'balancing': 32.28743854392989}","{'SolarPower': 48.419094090331896, 'WindPower': 59.636593485719544, 'NuclearPower': 71.72798440346084}"
76.69219797358835,"{'dayahead': 36.10550592340591, 'balancing': 104.16853272708128}","{'dayahead': 94.59984943531585, 'balancing': 38.044422744974625}","{'SolarPower': 55.016461859611844, 'WindPower': 66.36607071168855, 'NuclearPower': 76.69219797358835}"
81.51108492714027,"{'dayahead': 36.18886454349425, 'balancing': 116.46208051930493}","{'dayahead': 100.69357204496634, 'balancing': 39.30176415236319}","{'SolarPower': 59.683972240119914, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,"{'dayahead': 41.7085702680603, 'balancing': 84.70534563272682}","{'dayahead': 102.73186072209563, 'balancing': 42.29288386340113}","{'SolarPower': 59.68788589835269, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,"{'dayahead': 34.11647073910383, 'balancing': 73.66102099431512}","{'dayahead': 94.19219410073221, 'balancing': 37.61566076448061}","{'SolarPower': 51.71797360278101, 'WindPower': 62.82145082762658, 'NuclearPower': 73.89298793260474}"
80.1538787568306,"{'dayahead': 35.55503045550975, 'balancing': 118.85114130920851}","{'dayahead': 99.33726287123983, 'balancing': 37.47061988027932}","{'SolarPower': 55.21395384775595, 'WindPower': 67.98180916208038, 'NuclearPower': 80.1538787568306}"
76.78792918943535,"{'dayahead': 35.44787632041432, 'balancing': 81.70337043367552}","{'dayahead': 96.00395872197691, 'balancing': 36.38055562408198}","{'SolarPower': 53.473075613377524, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,"{'dayahead': 31.750483825702283, 'balancing': 85.75006571477188}","{'dayahead': 96.19715152643683, 'balancing': 36.23403568785626}","{'SolarPower': 51.98627477414354, 'WindPower': 66.14352933005658, 'NuclearPower': 76.36801901183969}"
70.51144102914388,"{'dayahead': 27.320105189389118, 'balancing': 69.1630844256707}","{'dayahead': 90.62016310073646, 'balancing': 31.423113135666714}","{'SolarPower': 44.62912222527718, 'WindPower': 61.664444531953286, 'NuclearPower': 70.5114410291439}"
77.11806090619307,"{'dayahead': 35.75628341233309, 'balancing': 81.4056051818647}","{'dayahead': 96.33602250677443, 'balancing': 37.89072635825545}","{'SolarPower': 52.74791593831412, 'WindPower': 67.68165801195889, 'NuclearPower': 77.11806090619307}"
75.78253255919854,"{'dayahead': 33.02916875504928, 'balancing': 92.32396063878056}","{'dayahead': 94.9094021246451, 'balancing': 35.71676829882672}","{'SolarPower': 50.20912714364526, 'WindPower': 65.21635402334609, 'NuclearPower': 75.78253255919853}"
