baseload,buy,sell,ppa
75.62036873861567,"{'dayahead': 57.88585921669246, 'balancing': 78.18726439635459}","{'dayahead': 114.24335930581555, 'balancing': 107.28391523133477}","{'SolarPower': 54.50991557634984, 'WindPower': 60.50845040852537, 'NuclearPower': 75.62036873861567}"
72.38777356557377,"{'dayahead': 56.24598202433653, 'balancing': 62.32774091904216}","{'dayahead': 108.68820490287605, 'balancing': 100.39788355417528}","{'SolarPower': 46.723731906454944, 'WindPower': 63.24286798701659, 'NuclearPower': 72.38777356557378}"
77.80831341074682,"{'dayahead': 58.99018019733138, 'balancing': 75.11176532253808}","{'dayahead': 117.51611489542076, 'balancing': 95.00673136548589}","{'SolarPower': 52.08378488450614, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,"{'dayahead': 53.67457382367967, 'balancing': 67.8691520262047}","{'dayahead': 111.11971323466827, 'balancing': 101.02491601882588}","{'SolarPower': 49.31381354615875, 'WindPower': 61.43090193320811, 'NuclearPower': 72.5976247723133}"
78.9044114298725,"{'dayahead': 61.30146924289891, 'balancing': 77.75157614690433}","{'dayahead': 117.24316048341545, 'balancing': 106.71902152379313}","{'SolarPower': 52.20203353782881, 'WindPower': 68.66180646621245, 'NuclearPower': 78.9044114298725}"
72.32751297814208,"{'dayahead': 51.37421419297041, 'balancing': 69.47776499780434}","{'dayahead': 115.34206623204163, 'balancing': 100.52433540124782}","{'SolarPower': 52.17719969253697, 'WindPower': 61.31545692658726, 'NuclearPower': 72.32751297814208}"
77.09319285063751,"{'dayahead': 57.84291142102341, 'balancing': 70.95058868133177}","{'dayahead': 117.34755619383614, 'balancing': 103.31641265803765}","{'SolarPower': 53.6751782240535, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,"{'dayahead': 59.754844072184554, 'balancing': 65.73054731892499}","{'dayahead': 116.66272507738222, 'balancing': 99.18257271010654}","{'SolarPower': 54.98282175381289, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,"{'dayahead': 64.75883984992393, 'balancing': 80.02299872937948}","{'dayahead': 113.10779290060059, 'balancing': 102.45574061664935}","{'SolarPower': 54.09309442944297, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,"{'dayahead': 53.81957255951371, 'balancing': 71.16999603255297}","{'dayahead': 111.49599429045325, 'balancing': 104.3637206725911}","{'SolarPower': 48.419094090331896, 'WindPower': 59.636593485719544, 'NuclearPower': 71.72798440346084}"
76.69219797358835,"{'dayahead': 60.139968292448344, 'balancing': 76.08006408382461}","{'dayahead': 111.56160105550772, 'balancing': 103.48531446557854}","{'SolarPower': 55.016461859611844, 'WindPower': 66.36607071168855, 'NuclearPower': 76.69219797358835}"
81.51108492714027,"{'dayahead': 62.78332055762841, 'balancing': 82.6150000031305}","{'dayahead': 120.1839738324314, 'balancing': 102.07221427356437}","{'SolarPower': 59.683972240119914, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,"{'dayahead': 67.92550034058539, 'balancing': 73.99834972930213}","{'dayahead': 119.9235565741603, 'balancing': 109.07135774349794}","{'SolarPower': 59.68788589835269, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,"{'dayahead': 57.50704468607333, 'balancing': 70.34442906324288}","{'dayahead': 112.95934353304698, 'balancing': 102.9260766123476}","{'SolarPower': 51.71797360278101, 'WindPower': 62.82145082762658, 'NuclearPower': 73.89298793260474}"
80.1538787568306,"{'dayahead': 61.6957383588201, 'balancing': 84.35220153299576}","{'dayahead': 116.79525188150019, 'balancing': 108.62415154946818}","{'SolarPower': 55.21395384775595, 'WindPower': 67.98180916208038, 'NuclearPower': 80.1538787568306}"
76.78792918943535,"{'dayahead': 59.754940592239095, 'balancing': 71.41175705674353}","{'dayahead': 114.7536540084408, 'balancing': 99.85238801361359}","{'SolarPower': 53.473075613377524, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,"{'dayahead': 58.28843639842564, 'balancing': 75.6949533427216}","{'dayahead': 114.33752096106541, 'balancing': 104.32011687422553}","{'SolarPower': 51.98627477414354, 'WindPower': 66.14352933005658, 'NuclearPower': 76.36801901183969}"
70.51144102914388,"{'dayahead': 53.01792448398773, 'balancing': 71.10083600211125}","{'dayahead': 108.52932473070948, 'balancing': 90.85262203243812}","{'SolarPower': 44.62912222527718, 'WindPower': 61.664444531953286, 'NuclearPower': 70.5114410291439}"
77.11806090619307,"{'dayahead': 60.67104760066443, 'balancing': 77.93426247556907}","{'dayahead': 113.2246081275532, 'balancing': 101.05275745236627}","{'SolarPower': 52.74791593831412, 'WindPower': 67.68165801195889, 'NuclearPower': 77.11806090619307}"
75.78253255919854,"{'dayahead': 59.061452902654004, 'balancing': 88.04581685160626}","{'dayahead': 113.69725154924983, 'balancing': 105.42378400719167}","{'SolarPower': 50.20912714364526, 'WindPower': 65.21635402334609, 'NuclearPower': 75.78253255919853}"
