baseload,buy,sell,ppa
75.62036873861567,"{'dayahead': nan, 'balancing': 62.47606412374978}","{'dayahead': 118.89670027777045, 'balancing': 113.55002544079828}","{'SolarPower': 54.50991557634984, 'WindPower': 60.50845040852537, 'NuclearPower': 75.62036873861567}"
72.38777356557377,"{'dayahead': nan, 'balancing': 76.39549649219941}","{'dayahead': 113.47174086186787, 'balancing': 114.79562590232933}","{'SolarPower': 46.723731906454944, 'WindPower': 63.24286798701659, 'NuclearPower': 72.38777356557378}"
77.80831341074682,"{'dayahead': nan, 'balancing': 78.98690583322991}","{'dayahead': 126.11584288341707, 'balancing': 118.29906439441308}","{'SolarPower': 52.08378488450614, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,"{'dayahead': nan, 'balancing': 81.18446675616973}","{'dayahead': 120.89307307015824, 'balancing': 110.11462533646433}","{'SolarPower': 49.31381354615875, 'WindPower': 61.43090193320811, 'NuclearPower': 72.5976247723133}"
78.9044114298725,"{'dayahead': nan, 'balancing': 79.1305961413435}","{'dayahead': 122.03955854220563, 'balancing': 114.9375901967226}","{'SolarPower': 52.20203353782881, 'WindPower': 68.66180646621245, 'NuclearPower': 78.9044114298725}"
72.32751297814208,"{'dayahead': nan, 'balancing': 71.44752830279094}","{'dayahead': 119.3218096228756, 'balancing': 108.67128578678525}","{'SolarPower': 52.17719969253697, 'WindPower': 61.31545692658726, 'NuclearPower': 72.32751297814208}"
77.09319285063751,"{'dayahead': nan, 'balancing': 75.78444876018645}","{'dayahead': 128.6588270199473, 'balancing': 115.62571500619069}","{'SolarPower': 53.6751782240535, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,"{'dayahead': nan, 'balancing': 78.37663544486256}","{'dayahead': 127.28267189618651, 'balancing': 117.61660791647513}","{'SolarPower': 54.98282175381289, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,"{'dayahead': nan, 'balancing': 79.50546180962378}","{'dayahead': 119.14135454340372, 'balancing': 114.64906926664487}","{'SolarPower': 54.09309442944297, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,"{'dayahead': nan, 'balancing': 79.59472068098583}","{'dayahead': 116.90814759514214, 'balancing': 115.33056976664639}","{'SolarPower': 48.419094090331896, 'WindPower': 59.636593485719544, 'NuclearPower': 71.72798440346084}"
76.69219797358835,"{'dayahead': nan, 'balancing': 76.25708387995199}","{'dayahead': 116.42419250034467, 'balancing': 111.44925468185347}","{'SolarPower': 55.016461859611844, 'WindPower': 66.36607071168855, 'NuclearPower': 76.69219797358835}"
81.51108492714027,"{'dayahead': nan, 'balancing': 77.47187588114333}","{'dayahead': 125.30017379909829, 'balancing': 114.37471297837358}","{'SolarPower': 59.683972240119914, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,"{'dayahead': nan, 'balancing': 65.75444894432715}","{'dayahead': 124.26317975862283, 'balancing': 116.19137315126446}","{'SolarPower': 59.68788589835269, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,"{'dayahead': nan, 'balancing': 71.27689840208629}","{'dayahead': 117.07020604042559, 'balancing': 115.30990620520537}","{'SolarPower': 51.71797360278101, 'WindPower': 62.82145082762658, 'NuclearPower': 73.89298793260474}"
80.1538787568306,"{'dayahead': nan, 'balancing': 78.46432383664782}","{'dayahead': 123.93617265583504, 'balancing': 123.78223663514152}","{'SolarPower': 55.21395384775595, 'WindPower': 67.98180916208038, 'NuclearPower': 80.1538787568306}"
76.78792918943535,"{'dayahead': nan, 'balancing': 76.14433917583449}","{'dayahead': 120.71179186205667, 'balancing': 111.23748859795946}","{'SolarPower': 53.473075613377524, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,"{'dayahead': nan, 'balancing': 75.27151572312188}","{'dayahead': 117.88512607269172, 'balancing': 112.31137478798391}","{'SolarPower': 51.98627477414354, 'WindPower': 66.14352933005658, 'NuclearPower': 76.36801901183969}"
70.51144102914388,"{'dayahead': nan, 'balancing': 71.27867247963668}","{'dayahead': 112.43828973597586, 'balancing': 106.9729767065371}","{'SolarPower': 44.62912222527718, 'WindPower': 61.664444531953286, 'NuclearPower': 70.5114410291439}"
77.11806090619307,"{'dayahead': nan, 'balancing': 77.76861134609264}","{'dayahead': 117.46721366352199, 'balancing': 109.64344160258179}","{'SolarPower': 52.74791593831412, 'WindPower': 67.68165801195889, 'NuclearPower': 77.11806090619307}"
75.78253255919854,"{'dayahead': nan, 'balancing': 79.43518206434888}","{'dayahead': 119.12158719561863, 'balancing': 114.44814059819178}","{'SolarPower': 50.20912714364526, 'WindPower': 65.21635402334609, 'NuclearPower': 75.78253255919853}"
