baseload,buy,sell,ppa
75.62036873861567,"{'dayahead': nan, 'balancing': 156.27535890509802}","{'dayahead': 131.78849285244246, 'balancing': 7.1541796675472265}","{'SolarPower': 54.50991557634984, 'WindPower': 60.50845040852537, 'NuclearPower': 75.62036873861567}"
72.38777356557377,"{'dayahead': nan, 'balancing': 164.01726906382132}","{'dayahead': 130.5276131866475, 'balancing': -0.589719370534971}","{'SolarPower': 46.723731906454944, 'WindPower': 63.24286798701659, 'NuclearPower': 72.38777356557378}"
77.80831341074682,"{'dayahead': nan, 'balancing': 161.06140553854019}","{'dayahead': 136.24994978400954, 'balancing': 0.5249680653595575}","{'SolarPower': 52.08378488450614, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,"{'dayahead': nan, 'balancing': 155.0095050420156}","{'dayahead': 131.87917320497738, 'balancing': 26.11689687263344}","{'SolarPower': 49.31381354615875, 'WindPower': 61.43090193320811, 'NuclearPower': 72.5976247723133}"
78.9044114298725,"{'dayahead': nan, 'balancing': 148.2453749791979}","{'dayahead': 134.96193345149103, 'balancing': -1.9296411851993303}","{'SolarPower': 52.20203353782881, 'WindPower': 68.66180646621245, 'NuclearPower': 78.9044114298725}"
72.32751297814208,"{'dayahead': nan, 'balancing': 135.55682763226005}","{'dayahead': 132.78574789312412, 'balancing': 12.918260646131701}","{'SolarPower': 52.17719969253697, 'WindPower': 61.31545692658726, 'NuclearPower': 72.32751297814208}"
77.09319285063751,"{'dayahead': nan, 'balancing': 170.14823074683315}","{'dayahead': 136.76380289186773, 'balancing': -2.181498522466207}","{'SolarPower': 53.6751782240535, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,"{'dayahead': nan, 'balancing': 160.0429793205007}","{'dayahead': 138.33792217382205, 'balancing': 2.5714766282403922}","{'SolarPower': 54.98282175381289, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,"{'dayahead': nan, 'balancing': 187.036489027094}","{'dayahead': 130.4013250903837, 'balancing': -0.909644117578934}","{'SolarPower': 54.09309442944297, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,"{'dayahead': nan, 'balancing': 139.7976657236615}","{'dayahead': 131.69046000078495, 'balancing': -1.625307303810679}","{'SolarPower': 48.419094090331896, 'WindPower': 59.636593485719544, 'NuclearPower': 71.72798440346084}"
76.69219797358835,"{'dayahead': nan, 'balancing': 133.41171023123354}","{'dayahead': 130.49297730745116, 'balancing': 1.0721329497016996}","{'SolarPower': 55.016461859611844, 'WindPower': 66.36607071168855, 'NuclearPower': 76.69219797358835}"
81.51108492714027,"{'dayahead': nan, 'balancing': 195.03429827484374}","{'dayahead': 135.39555436347345, 'balancing': -1.2494484820258165}","{'SolarPower': 59.683972240119914, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,"{'dayahead': nan, 'balancing': 154.93583406145916}","{'dayahead': 138.26174790743408, 'balancing': 30.87694437928142}","{'SolarPower': 59.68788589835269, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,"{'dayahead': nan, 'balancing': 159.23968799352764}","{'dayahead': 132.5319124486819, 'balancing': -0.9376589096825949}","{'SolarPower': 51.71797360278101, 'WindPower': 62.82145082762658, 'NuclearPower': 73.89298793260474}"
80.1538787568306,"{'dayahead': nan, 'balancing': 179.39209044882216}","{'dayahead': 136.97629203885498, 'balancing': -2.136970845355923}","{'SolarPower': 55.21395384775595, 'WindPower': 67.98180916208038, 'NuclearPower': 80.1538787568306}"
76.78792918943535,"{'dayahead': nan, 'balancing': 125.37387295086032}","{'dayahead': 132.23708567756077, 'balancing': -1.8084061963020628}","{'SolarPower': 53.473075613377524, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,"{'dayahead': nan, 'balancing': 155.3096501140368}","{'dayahead': 131.14059518606388, 'balancing': -1.21870165400838}","{'SolarPower': 51.98627477414354, 'WindPower': 66.14352933005658, 'NuclearPower': 76.36801901183969}"
70.51144102914388,"{'dayahead': nan, 'balancing': 141.72019933657882}","{'dayahead': 124.79246326713101, 'balancing': 34.671019774318886}","{'SolarPower': 44.62912222527718, 'WindPower': 61.664444531953286, 'NuclearPower': 70.5114410291439}"
77.11806090619307,"{'dayahead': nan, 'balancing': 152.49977716814257}","{'dayahead': 130.0720293402318, 'balancing': 7.649614675344158}","{'SolarPower': 52.74791593831412, 'WindPower': 67.68165801195889, 'NuclearPower': 77.11806090619307}"
75.78253255919854,"{'dayahead': nan, 'balancing': 176.95404670934627}","{'dayahead': 130.9609158356036, 'balancing': 7.551315241565452}","{'SolarPower': 50.20912714364526, 'WindPower': 65.21635402334609, 'NuclearPower': 75.78253255919853}"
