baseload,buy,sell,ppa
75.62036873861567,{'dayahead': 84.86411153495959},{'dayahead': 67.32351053635607},"{'SolarPower': 54.50991557634984, 'WindPower': 60.508450408525356, 'NuclearPower': 75.62036873861567}"
72.38777356557377,{'dayahead': 79.77356480823065},{'dayahead': 68.06444243237617},"{'SolarPower': 46.72373190645494, 'WindPower': 63.242867987016595, 'NuclearPower': 72.38777356557378}"
77.80831341074682,{'dayahead': 88.27513270950845},{'dayahead': 69.82582901568087},"{'SolarPower': 52.08378488450614, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,{'dayahead': 81.0376002046351},{'dayahead': 67.4438034356498},"{'SolarPower': 49.31381354615875, 'WindPower': 61.43090193320812, 'NuclearPower': 72.5976247723133}"
78.9044114298725,{'dayahead': 87.19239250763589},{'dayahead': 72.0083326583964},"{'SolarPower': 52.202033537828804, 'WindPower': 68.66180646621247, 'NuclearPower': 78.9044114298725}"
72.32751297814208,{'dayahead': 78.39927769945479},{'dayahead': 67.88414959050579},"{'SolarPower': 52.17719969253697, 'WindPower': 61.315456926587245, 'NuclearPower': 72.32751297814208}"
77.09319285063751,{'dayahead': 84.55256159324232},{'dayahead': 70.91521357153579},"{'SolarPower': 53.67517822405351, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,{'dayahead': 84.42592299020718},{'dayahead': 73.98173778906498},"{'SolarPower': 54.982821753812885, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,{'dayahead': 88.57240503624296},{'dayahead': 73.00194079909032},"{'SolarPower': 54.09309442944297, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,{'dayahead': 81.2052245950856},{'dayahead': 66.7219543763413},"{'SolarPower': 48.419094090331896, 'WindPower': 59.63659348571956, 'NuclearPower': 71.72798440346084}"
76.69219797358835,{'dayahead': 83.00567484156777},{'dayahead': 73.60768775052323},"{'SolarPower': 55.01646185961186, 'WindPower': 66.36607071168854, 'NuclearPower': 76.69219797358835}"
81.51108492714027,{'dayahead': 88.18868870817161},{'dayahead': 77.91232388022114},"{'SolarPower': 59.68397224011989, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,{'dayahead': 93.14021138044419},{'dayahead': 74.97729683087752},"{'SolarPower': 59.68788589835268, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,{'dayahead': 79.95990343788455},{'dayahead': 68.8048670850737},"{'SolarPower': 51.717973602781, 'WindPower': 62.82145082762657, 'NuclearPower': 73.89298793260474}"
80.1538787568306,{'dayahead': 88.24511234406364},{'dayahead': 72.99314474696027},"{'SolarPower': 55.21395384775596, 'WindPower': 67.98180916208037, 'NuclearPower': 80.1538787568306}"
76.78792918943535,{'dayahead': 83.70105083852947},{'dayahead': 70.453282554526},"{'SolarPower': 53.47307561337752, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,{'dayahead': 84.22303346022873},{'dayahead': 71.37776678561589},"{'SolarPower': 51.986274774143546, 'WindPower': 66.14352933005661, 'NuclearPower': 76.36801901183969}"
70.51144102914388,{'dayahead': 79.31628829597065},{'dayahead': 66.46894320837733},"{'SolarPower': 44.62912222527718, 'WindPower': 61.66444453195329, 'NuclearPower': 70.5114410291439}"
