average,totals,averages,balance,fuel_emissions_intensity
0.07258243318248292,"{'buying': 0.0, 'selling': 85196.0650888152, 'baseload_ppa': 31878.2046537465}","{'buying': nan, 'selling': 0.08127082915905602}",-53317.8604350687,-0.0645037710551207
0.07112158856771687,"{'buying': 0.0, 'selling': 86261.83815519226, 'baseload_ppa': 31236.60169894125}","{'buying': nan, 'selling': 0.07956663110711747}",-55025.23645625102,-0.06666224179976304
0.0736767149459036,"{'buying': 0.0, 'selling': 87482.44775263374, 'baseload_ppa': 32358.813204240858}","{'buying': nan, 'selling': 0.082524318068969}",-55123.63454839289,-0.06679223863854711
0.07086187084409125,"{'buying': 0.0, 'selling': 87233.40173200464, 'baseload_ppa': 31122.533674724877}","{'buying': nan, 'selling': 0.07987278955734242}",-56110.86805727976,-0.06779714166414255
0.07461239138864742,"{'buying': 0.0, 'selling': 89839.7653704133, 'baseload_ppa': 32769.76229789395}","{'buying': nan, 'selling': 0.08360775607094602}",-57070.00307251935,-0.06985855147013845
0.07006653639698199,"{'buying': 0.0, 'selling': 90551.02789913728, 'baseload_ppa': 30773.222785554488}","{'buying': nan, 'selling': 0.08002183442305001}",-59777.805113582785,-0.07169664422375385
0.07268178657122748,"{'buying': 0.0, 'selling': 93027.18664671996, 'baseload_ppa': 31921.84066208311}","{'buying': nan, 'selling': 0.08401380893507933}",-61105.34598463685,-0.07403866715964003
0.07379678656471203,"{'buying': 0.0, 'selling': 92850.39357381158, 'baseload_ppa': 32411.548659221524}","{'buying': nan, 'selling': 0.08468076689767486}",-60438.84491459006,-0.07316187701255294
0.07473895914216154,"{'buying': 0.0, 'selling': 87488.6338504392, 'baseload_ppa': 32825.350855237346}","{'buying': nan, 'selling': 0.08199479070009191}",-54663.28299520186,-0.06634659726353376
0.07078467656348167,"{'buying': 0.0, 'selling': 87400.83299743375, 'baseload_ppa': 31088.62994668115}","{'buying': nan, 'selling': 0.08019056710804466}",-56312.20305075261,-0.06811502439634301
0.07294789060781186,"{'buying': 0.0, 'selling': 90096.82348937995, 'baseload_ppa': 32038.71355495097}","{'buying': nan, 'selling': 0.0816688460825137}",-58058.10993442898,-0.07045166551610871
0.07473706727237782,"{'buying': 0.0, 'selling': 95059.38638608495, 'baseload_ppa': 32824.51994602834}","{'buying': nan, 'selling': 0.08476349265997639}",-62234.86644005661,-0.07607625402139924
0.0766373305627149,"{'buying': 0.0, 'selling': 88798.64009240712, 'baseload_ppa': 33659.11558314439}","{'buying': nan, 'selling': 0.08556172530987172}",-55139.52450926273,-0.06613868268347342
0.07189604049126185,"{'buying': 0.0, 'selling': 85183.18860465311, 'baseload_ppa': 31576.740983762204}","{'buying': nan, 'selling': 0.08159129813164254}",-53606.44762089091,-0.06350674464773379
0.07563997542255377,"{'buying': 0.0, 'selling': 86428.3378921533, 'baseload_ppa': 33221.077205585614}","{'buying': nan, 'selling': 0.08451419815428172}",-53207.260686567686,-0.065539477832921
0.07296939818097736,"{'buying': 0.0, 'selling': 91046.61550847604, 'baseload_ppa': 32048.159681085257}","{'buying': nan, 'selling': 0.0823283242235022}",-58998.45582739078,-0.071487284414626
0.07259067346469597,"{'buying': 0.0, 'selling': 90320.03402214016, 'baseload_ppa': 31881.82378569447}","{'buying': nan, 'selling': 0.08159452057031229}",-58438.21023644569,-0.07098360176336581
0.06938381287185001,"{'buying': 0.0, 'selling': 89362.33094584127, 'baseload_ppa': 30473.370613316525}","{'buying': nan, 'selling': 0.07859735627728506}",-58888.960332524744,-0.070609760737029
0.072979536535787,"{'buying': 0.0, 'selling': 89556.18006160157, 'baseload_ppa': 32052.612446517647}","{'buying': nan, 'selling': 0.08175079535541868}",-57503.56761508392,-0.0695959634411269
0.0722634120326946,"{'buying': 0.0, 'selling': 91664.70104929736, 'baseload_ppa': 31738.090564759466}","{'buying': nan, 'selling': 0.08137096090660288}",-59926.6104845379,-0.07266528014450487
