baseload,buy,sell,ppa
75.62036873861567,{'dayahead': 59.06972466576199},{'dayahead': 96.65932046900184},"{'SolarPower': 54.50991557634984, 'WindPower': 60.508450408525356, 'NuclearPower': 75.62036873861567}"
72.38777356557377,{'dayahead': 56.80634747964681},{'dayahead': 92.94514095948023},"{'SolarPower': 46.72373190645494, 'WindPower': 63.242867987016595, 'NuclearPower': 72.38777356557378}"
77.80831341074682,{'dayahead': 58.13739452749179},{'dayahead': 100.17532307188578},"{'SolarPower': 52.08378488450614, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,{'dayahead': 51.50698815828143},{'dayahead': 95.78832847540968},"{'SolarPower': 49.31381354615875, 'WindPower': 61.43090193320812, 'NuclearPower': 72.5976247723133}"
78.9044114298725,{'dayahead': 61.15536981943811},{'dayahead': 100.0846230411043},"{'SolarPower': 52.202033537828804, 'WindPower': 68.66180646621247, 'NuclearPower': 78.9044114298725}"
72.32751297814208,{'dayahead': 50.51982520907888},{'dayahead': 97.28642500999516},"{'SolarPower': 52.17719969253697, 'WindPower': 61.315456926587245, 'NuclearPower': 72.32751297814208}"
77.09319285063751,{'dayahead': 56.485587610608796},{'dayahead': 103.19421950670554},"{'SolarPower': 53.67517822405351, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,{'dayahead': 58.16819766363396},{'dayahead': 103.03691704396292},"{'SolarPower': 54.982821753812885, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,{'dayahead': 67.13213372631931},{'dayahead': 97.35489547109934},"{'SolarPower': 54.09309442944297, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,{'dayahead': 53.958071739453786},{'dayahead': 94.22769786252843},"{'SolarPower': 48.419094090331896, 'WindPower': 59.63659348571956, 'NuclearPower': 71.72798440346084}"
76.69219797358835,{'dayahead': 61.45586285662926},{'dayahead': 96.47173354341744},"{'SolarPower': 55.01646185961186, 'WindPower': 66.36607071168854, 'NuclearPower': 76.69219797358835}"
81.51108492714027,{'dayahead': 62.09865712359048},{'dayahead': 104.67780854748604},"{'SolarPower': 59.68397224011989, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,{'dayahead': 67.99761699147206},{'dayahead': 103.32193571589096},"{'SolarPower': 59.68788589835268, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,{'dayahead': 59.05595213497815},{'dayahead': 94.83196403887173},"{'SolarPower': 51.717973602781, 'WindPower': 62.82145082762657, 'NuclearPower': 73.89298793260474}"
80.1538787568306,{'dayahead': 63.18598209359164},{'dayahead': 101.77262920640979},"{'SolarPower': 55.21395384775596, 'WindPower': 67.98180916208037, 'NuclearPower': 80.1538787568306}"
76.78792918943535,{'dayahead': 60.80451471926876},{'dayahead': 98.2872274575559},"{'SolarPower': 53.47307561337752, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,{'dayahead': 59.03111929833885},{'dayahead': 98.434896489221},"{'SolarPower': 51.986274774143546, 'WindPower': 66.14352933005661, 'NuclearPower': 76.36801901183969}"
70.51144102914388,{'dayahead': 51.96558041681146},{'dayahead': 92.94436415406928},"{'SolarPower': 44.62912222527718, 'WindPower': 61.66444453195329, 'NuclearPower': 70.5114410291439}"
77.11806090619307,{'dayahead': 60.49354455757011},{'dayahead': 97.58559265987058},"{'SolarPower': 52.74791593831414, 'WindPower': 67.6816580119589, 'NuclearPower': 77.11806090619307}"
75.78253255919854,{'dayahead': 59.29612927512041},{'dayahead': 97.48768438200766},"{'SolarPower': 50.209127143645254, 'WindPower': 65.2163540233461, 'NuclearPower': 75.78253255919853}"
77.28987260928962,{'dayahead': 59.82508905867978},{'dayahead': 99.06974720546589},"{'SolarPower': 50.682698995320784, 'WindPower': 66.49121033221336, 'NuclearPower': 77.28987260928962}"
82.67175785519126,{'dayahead': 65.14153190762984},{'dayahead': 104.63367237914751},"{'SolarPower': 59.93220781435475, 'WindPower': 72.8870391687093, 'NuclearPower': 82.67175785519125}"
76.070810564663,{'dayahead': 60.40085925572567},{'dayahead': 97.42800096569172},"{'SolarPower': 49.844413329678815, 'WindPower': 64.79156805946089, 'NuclearPower': 76.07081056466303}"
72.35334904371584,{'dayahead': 58.5667218165547},{'dayahead': 93.9507230580053},"{'SolarPower': 45.13307998609094, 'WindPower': 62.7762780313552, 'NuclearPower': 72.35334904371584}"
73.08211748633879,{'dayahead': 52.03492470223077},{'dayahead': 96.84775224923325},"{'SolarPower': 48.573158524844494, 'WindPower': 64.6772577879056, 'NuclearPower': 73.0821174863388}"
75.4849522996357,{'dayahead': 56.74847547085827},{'dayahead': 100.49071291093391},"{'SolarPower': 49.20840771335459, 'WindPower': 65.80534090753098, 'NuclearPower': 75.4849522996357}"
75.04439651639345,{'dayahead': 56.00827555166153},{'dayahead': 97.87215127243223},"{'SolarPower': 47.283542651726904, 'WindPower': 67.8307879535029, 'NuclearPower': 75.04439651639345}"
83.48765926684882,{'dayahead': 60.480239336790284},{'dayahead': 110.78617748573396},"{'SolarPower': 60.985306334848026, 'WindPower': 69.98557288895532, 'NuclearPower': 83.48765926684882}"
73.24956079234973,{'dayahead': 59.73938914476695},{'dayahead': 91.25529321348517},"{'SolarPower': 48.30796962851202, 'WindPower': 61.53082433757213, 'NuclearPower': 73.24956079234973}"
74.95196459471767,{'dayahead': 55.21202508630309},{'dayahead': 96.79601948086449},"{'SolarPower': 46.51417400652782, 'WindPower': 65.46350013453947, 'NuclearPower': 74.95196459471767}"
79.13889264571948,{'dayahead': 61.34496241530739},{'dayahead': 100.6608177285548},"{'SolarPower': 54.38112004791499, 'WindPower': 68.48171273143977, 'NuclearPower': 79.13889264571951}"
77.54778062386157,{'dayahead': 58.32338967226627},{'dayahead': 101.52775851549002},"{'SolarPower': 53.914485767123836, 'WindPower': 67.18900244616526, 'NuclearPower': 77.54778062386157}"
77.13590494080145,{'dayahead': 57.236462241460195},{'dayahead': 98.50060037927658},"{'SolarPower': 55.07943775947456, 'WindPower': 65.69599764773349, 'NuclearPower': 77.13590494080147}"
76.08950614754099,{'dayahead': 60.11487466378799},{'dayahead': 96.46623377820843},"{'SolarPower': 49.6261071858876, 'WindPower': 66.98594835115176, 'NuclearPower': 76.08950614754097}"
72.46838194444445,{'dayahead': 57.729526487086936},{'dayahead': 94.63726934015435},"{'SolarPower': 47.16516976748232, 'WindPower': 61.38353968673422, 'NuclearPower': 72.46838194444445}"
75.26299772313297,{'dayahead': 61.193820770895634},{'dayahead': 94.23441692407363},"{'SolarPower': 53.31941356580323, 'WindPower': 64.25591507912338, 'NuclearPower': 75.26299772313297}"
75.10061908014572,{'dayahead': 58.93853958062843},{'dayahead': 97.10848242330702},"{'SolarPower': 48.18638681113648, 'WindPower': 67.4329687854232, 'NuclearPower': 75.10061908014572}"
78.2328091985428,{'dayahead': 60.155428466541274},{'dayahead': 101.94205669767129},"{'SolarPower': 55.40181677447653, 'WindPower': 66.67751893274092, 'NuclearPower': 78.2328091985428}"
77.35333162568305,{'dayahead': 59.37864935020244},{'dayahead': 98.56636044065466},"{'SolarPower': 49.430218478817295, 'WindPower': 68.09718879502127, 'NuclearPower': 77.35333162568305}"
75.96294091530056,{'dayahead': 59.88389966713318},{'dayahead': 96.08553630077022},"{'SolarPower': 53.095302700574386, 'WindPower': 65.76259969087319, 'NuclearPower': 75.96294091530055}"
77.56439811020037,{'dayahead': 60.06112797312251},{'dayahead': 99.26713249663035},"{'SolarPower': 50.800898958483664, 'WindPower': 67.93699138158264, 'NuclearPower': 77.56439811020036}"
76.30722188069217,{'dayahead': 60.89337122629901},{'dayahead': 96.63559648063078},"{'SolarPower': 49.83222059894612, 'WindPower': 69.41604723147528, 'NuclearPower': 76.30722188069217}"
72.78750136612022,{'dayahead': 52.35512815075458},{'dayahead': 96.53975623147927},"{'SolarPower': 45.92438304310513, 'WindPower': 63.998890496458735, 'NuclearPower': 72.78750136612022}"
70.78907764116575,{'dayahead': 54.37694246918513},{'dayahead': 92.33061381872496},"{'SolarPower': 46.21625536461626, 'WindPower': 61.52098912970932, 'NuclearPower': 70.78907764116575}"
79.63775295992714,{'dayahead': 61.89504889558723},{'dayahead': 101.52198377327264},"{'SolarPower': 53.03930333844346, 'WindPower': 69.56195362162349, 'NuclearPower': 79.63775295992714}"
71.76190653460837,{'dayahead': 52.48728506331897},{'dayahead': 93.77077950982272},"{'SolarPower': 46.969802500087994, 'WindPower': 60.128928762747805, 'NuclearPower': 71.76190653460837}"
81.22627607012751,{'dayahead': 67.46898526999533},{'dayahead': 99.48466248887682},"{'SolarPower': 52.877122383851976, 'WindPower': 69.00466391385608, 'NuclearPower': 81.22627607012751}"
67.94808037340619,{'dayahead': 49.2904191499197},{'dayahead': 89.288008472099},"{'SolarPower': 42.96216262188432, 'WindPower': 58.96408617483824, 'NuclearPower': 67.9480803734062}"
72.18485496357013,{'dayahead': 51.38964241060441},{'dayahead': 99.34309010502793},"{'SolarPower': 52.80545501799538, 'WindPower': 59.71472141564005, 'NuclearPower': 72.18485496357013}"
76.70856819216758,{'dayahead': 58.90879543963027},{'dayahead': 99.15536850601202},"{'SolarPower': 49.794784141149044, 'WindPower': 66.83988894688162, 'NuclearPower': 76.70856819216759}"
