baseload,buy,sell,ppa
75.62036873861567,"{'dayahead': nan, 'balancing': 46.43575221520875}","{'dayahead': 93.63227034790995, 'balancing': 86.4297644886196}","{'SolarPower': 54.50991557634984, 'WindPower': 60.508450408525356, 'NuclearPower': 75.62036873861567}"
72.38777356557377,"{'dayahead': nan, 'balancing': 47.689596239748525}","{'dayahead': 89.97364034894734, 'balancing': 91.34023539881879}","{'SolarPower': 46.72373190645494, 'WindPower': 63.242867987016595, 'NuclearPower': 72.38777356557378}"
77.80831341074682,"{'dayahead': nan, 'balancing': 48.27159017852409}","{'dayahead': 96.6128998718438, 'balancing': 87.17525415294509}","{'SolarPower': 52.08378488450614, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,"{'dayahead': nan, 'balancing': 51.114244273387655}","{'dayahead': 91.56864886187412, 'balancing': 84.9267239320208}","{'SolarPower': 49.31381354615875, 'WindPower': 61.43090193320812, 'NuclearPower': 72.5976247723133}"
78.9044114298725,"{'dayahead': nan, 'balancing': 53.47938559645012}","{'dayahead': 96.47534653690415, 'balancing': 91.57612158044691}","{'SolarPower': 52.202033537828804, 'WindPower': 68.66180646621247, 'NuclearPower': 78.9044114298725}"
72.32751297814208,"{'dayahead': nan, 'balancing': 47.81790665894804}","{'dayahead': 94.18176915506791, 'balancing': 88.1320332151799}","{'SolarPower': 52.17719969253697, 'WindPower': 61.315456926587245, 'NuclearPower': 72.32751297814208}"
77.09319285063751,"{'dayahead': nan, 'balancing': 54.886168040464334}","{'dayahead': 99.84907927486219, 'balancing': 86.27319706181468}","{'SolarPower': 53.67517822405351, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,"{'dayahead': nan, 'balancing': 53.99683017182351}","{'dayahead': 101.06657477796043, 'balancing': 92.92548682751041}","{'SolarPower': 54.982821753812885, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,"{'dayahead': nan, 'balancing': 47.5399821116091}","{'dayahead': 93.89768992661992, 'balancing': 87.93361807220865}","{'SolarPower': 54.09309442944297, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,"{'dayahead': nan, 'balancing': 49.183879081945}","{'dayahead': 90.05470310453859, 'balancing': 91.16077910791167}","{'SolarPower': 48.419094090331896, 'WindPower': 59.63659348571956, 'NuclearPower': 71.72798440346084}"
76.69219797358835,"{'dayahead': nan, 'balancing': 50.53821348219586}","{'dayahead': 93.20887690618294, 'balancing': 91.17763554157581}","{'SolarPower': 55.01646185961186, 'WindPower': 66.36607071168854, 'NuclearPower': 76.69219797358835}"
81.51108492714027,"{'dayahead': nan, 'balancing': 54.60203025965652}","{'dayahead': 100.59679175518416, 'balancing': 90.28814409009442}","{'SolarPower': 59.68397224011989, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,"{'dayahead': nan, 'balancing': 53.70969672539506}","{'dayahead': 100.44838615672558, 'balancing': 96.8300128707817}","{'SolarPower': 59.68788589835268, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,"{'dayahead': nan, 'balancing': 47.955774851784426}","{'dayahead': 91.54283672693388, 'balancing': 90.4707705888313}","{'SolarPower': 51.717973602781, 'WindPower': 62.82145082762657, 'NuclearPower': 73.89298793260474}"
80.1538787568306,"{'dayahead': nan, 'balancing': 58.479994681027804}","{'dayahead': 98.97315228511103, 'balancing': 93.14106704552088}","{'SolarPower': 55.21395384775596, 'WindPower': 67.98180916208037, 'NuclearPower': 80.1538787568306}"
76.78792918943535,"{'dayahead': nan, 'balancing': 53.12291953364683}","{'dayahead': 94.72704499176132, 'balancing': 85.24965069323316}","{'SolarPower': 53.47307561337752, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,"{'dayahead': nan, 'balancing': 50.98567844179378}","{'dayahead': 94.56547796224575, 'balancing': 87.42163315650477}","{'SolarPower': 51.986274774143546, 'WindPower': 66.14352933005661, 'NuclearPower': 76.36801901183969}"
70.51144102914388,"{'dayahead': nan, 'balancing': 48.70472101557234}","{'dayahead': 89.42017453567975, 'balancing': 85.90979254553345}","{'SolarPower': 44.62912222527718, 'WindPower': 61.66444453195329, 'NuclearPower': 70.5114410291439}"
77.11806090619307,"{'dayahead': nan, 'balancing': 55.44519358920266}","{'dayahead': 94.30390569351846, 'balancing': 88.0279032733525}","{'SolarPower': 52.74791593831414, 'WindPower': 67.6816580119589, 'NuclearPower': 77.11806090619307}"
75.78253255919854,"{'dayahead': nan, 'balancing': 51.98775936302709}","{'dayahead': 93.47706120537613, 'balancing': 89.20734655082595}","{'SolarPower': 50.209127143645254, 'WindPower': 65.2163540233461, 'NuclearPower': 75.78253255919853}"
