average,totals,averages,balance,fuel_emissions_intensity
0.07258243318248292,"{'buying': 3061.9199879794583, 'selling': 89622.13509890581, 'baseload_ppa': 31878.2046537465}","{'buying': 0.053195646278818634, 'selling': 0.08157269421463886}",-54682.01045717985,-0.06589557033186857
0.07112158856771687,"{'buying': 3884.7688143569776, 'selling': 92659.91611207771, 'baseload_ppa': 31236.60169894125}","{'buying': 0.05188285822896582, 'selling': 0.07997114964932694}",-57538.545598779485,-0.06969330916603877
0.0736767149459036,"{'buying': 3490.23520449995, 'selling': 92838.47790549908, 'baseload_ppa': 32358.813204240858}","{'buying': 0.0536752066388222, 'selling': 0.08251661231494854}",-56989.42949675827,-0.06905298618291325
0.07086187084409125,"{'buying': 3860.4059950175692, 'selling': 92723.02779457411, 'baseload_ppa': 31122.533674724877}","{'buying': 0.051664874962087964, 'selling': 0.07975981616386743}",-57740.088124831665,-0.06960086999756211
0.07461239138864742,"{'buying': 3585.957472324984, 'selling': 95069.01880732081, 'baseload_ppa': 32769.76229789395}","{'buying': 0.05499294970011834, 'selling': 0.08387326416169037}",-58713.29903710188,-0.07162740452101166
0.07006653639698199,"{'buying': 3466.561045162329, 'selling': 95609.0662175104, 'baseload_ppa': 30773.222785554488}","{'buying': 0.05229451974933909, 'selling': 0.0802061644004974}",-61369.28238679358,-0.07337417177805851
0.07268178657122748,"{'buying': 2692.5177873041052, 'selling': 97128.50110146216, 'baseload_ppa': 31921.84066208311}","{'buying': 0.05536859673554192, 'selling': 0.08405258552425705}",-62514.142652074945,-0.07572576433668134
0.07379678656471203,"{'buying': 3176.5908762904237, 'selling': 97860.07984853337, 'baseload_ppa': 32411.548659221524}","{'buying': 0.05647901826352302, 'selling': 0.08481652679837505}",-62271.94031302142,-0.07542656776932302
0.07473895914216154,"{'buying': 3723.790595998543, 'selling': 92847.6491244109, 'baseload_ppa': 32825.350855237346}","{'buying': 0.05459421023798382, 'selling': 0.08200778817423834}",-56298.507673175016,-0.06820924480566688
0.07078467656348167,"{'buying': 3430.8209520654887, 'selling': 92882.36437985772, 'baseload_ppa': 31088.62994668115}","{'buying': 0.05300733567319707, 'selling': 0.0804250945511009}",-58362.913481111085,-0.07060502949690009
0.07294789060781186,"{'buying': 3768.107292392261, 'selling': 95706.54294205483, 'baseload_ppa': 32038.71355495097}","{'buying': 0.05495678142371922, 'selling': 0.08176207468916025}",-59899.7220947116,-0.07263518544155632
0.07473706727237782,"{'buying': 3468.8283427085676, 'selling': 99701.94436072004, 'baseload_ppa': 32824.51994602834}","{'buying': 0.05616371714655634, 'selling': 0.08471797811037038}",-63408.59607198313,-0.07724568734396119
0.0766373305627149,"{'buying': 2990.8624838141154, 'selling': 93573.44639241953, 'baseload_ppa': 33659.11558314439}","{'buying': 0.05690520873733846, 'selling': 0.08562497915466726}",-56923.46832546102,-0.0683681342931962
0.07189604049126185,"{'buying': 4459.194708738192, 'selling': 91200.13165294401, 'baseload_ppa': 31576.740983762204}","{'buying': 0.05529918479277167, 'selling': 0.08151267099396277}",-55164.19596044361,-0.06514908463222958
0.07563997542255377,"{'buying': 3589.1735445818726, 'selling': 91313.94263460413, 'baseload_ppa': 33221.077205585614}","{'buying': 0.05817740305895676, 'selling': 0.08462092669351723}",-54503.691884436645,-0.06694688308262094
0.07296939818097736,"{'buying': 3733.215130157205, 'selling': 96552.3005859999, 'baseload_ppa': 32048.159681085257}","{'buying': 0.056818382233096584, 'selling': 0.08240760728066315}",-60770.92577475743,-0.07363495186569426
0.07259067346469597,"{'buying': 3682.11131068693, 'selling': 95837.76464102094, 'baseload_ppa': 31881.82378569447}","{'buying': 0.052426255315097904, 'selling': 0.08169140228523204}",-60273.82954463954,-0.0730326300068334
0.06938381287185001,"{'buying': 3276.3593628629815, 'selling': 93981.62007316454, 'baseload_ppa': 30473.370613316525}","{'buying': 0.05038093974511216, 'selling': 0.07845184167799285}",-60231.89009698503,-0.07205954906322862
0.072979536535787,"{'buying': 3932.6188244706086, 'selling': 95442.10405780369, 'baseload_ppa': 32052.612446517647}","{'buying': 0.05711541797461603, 'selling': 0.08187941307998338}",-59456.87278681544,-0.07201095241500417
0.0722634120326946,"{'buying': 3698.495634766312, 'selling': 97467.32095406482, 'baseload_ppa': 31738.090564759466}","{'buying': 0.05347076360497082, 'selling': 0.08159192925837762}",-62030.734754539044,-0.07516143796745312
