baseload,buy,sell,ppa
75.62036873861567,{'dayahead': 55.9537627654746},{'dayahead': 99.18416387103761},"{'SolarPower': 54.50991557634984, 'WindPower': 60.508450408525356, 'NuclearPower': 75.62036873861567}"
72.38777356557377,{'dayahead': 51.9608080891363},{'dayahead': 97.02433051731676},"{'SolarPower': 46.72373190645494, 'WindPower': 63.242867987016595, 'NuclearPower': 72.38777356557378}"
77.80831341074682,{'dayahead': 55.735748502332704},{'dayahead': 102.28929515367811},"{'SolarPower': 52.08378488450614, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,{'dayahead': 48.829333206870864},{'dayahead': 97.69646218247715},"{'SolarPower': 49.31381354615875, 'WindPower': 61.43090193320812, 'NuclearPower': 72.5976247723133}"
78.9044114298725,{'dayahead': 57.96880385050469},{'dayahead': 102.58572277859669},"{'SolarPower': 52.202033537828804, 'WindPower': 68.66180646621247, 'NuclearPower': 78.9044114298725}"
72.32751297814208,{'dayahead': 46.88852318745925},{'dayahead': 100.08004910680586},"{'SolarPower': 52.17719969253697, 'WindPower': 61.315456926587245, 'NuclearPower': 72.32751297814208}"
77.09319285063751,{'dayahead': 54.10737342358806},{'dayahead': 103.48488263937752},"{'SolarPower': 53.67517822405351, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,{'dayahead': 54.80274586974995},{'dayahead': 105.72385824978697},"{'SolarPower': 54.982821753812885, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,{'dayahead': 63.71543081969704},{'dayahead': 99.22074088231253},"{'SolarPower': 54.09309442944297, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,{'dayahead': 50.82347351792899},{'dayahead': 96.50032607843555},"{'SolarPower': 48.419094090331896, 'WindPower': 59.63659348571956, 'NuclearPower': 71.72798440346084}"
76.69219797358835,{'dayahead': 57.71174798762762},{'dayahead': 98.80170542184396},"{'SolarPower': 55.01646185961186, 'WindPower': 66.36607071168854, 'NuclearPower': 76.69219797358835}"
81.51108492714027,{'dayahead': 59.33044733310375},{'dayahead': 106.608890746987},"{'SolarPower': 59.68397224011989, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,{'dayahead': 66.03398822952536},{'dayahead': 104.78278132444046},"{'SolarPower': 59.68788589835268, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,{'dayahead': 54.57234773867714},{'dayahead': 98.22023341869865},"{'SolarPower': 51.717973602781, 'WindPower': 62.82145082762657, 'NuclearPower': 73.89298793260474}"
80.1538787568306,{'dayahead': 59.2342038214552},{'dayahead': 103.56674288530526},"{'SolarPower': 55.21395384775596, 'WindPower': 67.98180916208037, 'NuclearPower': 80.1538787568306}"
76.78792918943535,{'dayahead': 57.064599302699044},{'dayahead': 100.17181229446578},"{'SolarPower': 53.47307561337752, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,{'dayahead': 55.20992543953826},{'dayahead': 100.5817153938486},"{'SolarPower': 51.986274774143546, 'WindPower': 66.14352933005661, 'NuclearPower': 76.36801901183969}"
70.51144102914388,{'dayahead': 48.25125566421486},{'dayahead': 95.2219749035732},"{'SolarPower': 44.62912222527718, 'WindPower': 61.66444453195329, 'NuclearPower': 70.5114410291439}"
77.11806090619307,{'dayahead': 57.23347177783595},{'dayahead': 100.2404461156596},"{'SolarPower': 52.74791593831414, 'WindPower': 67.6816580119589, 'NuclearPower': 77.11806090619307}"
75.78253255919854,{'dayahead': 57.303873320457164},{'dayahead': 99.40249623566366},"{'SolarPower': 50.209127143645254, 'WindPower': 65.2163540233461, 'NuclearPower': 75.78253255919853}"
