baseload,buy,sell,ppa
75.62036873861567,"{'dayahead': nan, 'balancing': 107.01295496135346}","{'dayahead': 106.8195971804612, 'balancing': 14.167105332529227}","{'SolarPower': 54.50991557634984, 'WindPower': 60.508450408525356, 'NuclearPower': 75.62036873861567}"
72.38777356557377,"{'dayahead': nan, 'balancing': 102.52490926185354}","{'dayahead': 104.27159357433246, 'balancing': 11.594442230392982}","{'SolarPower': 46.72373190645494, 'WindPower': 63.242867987016595, 'NuclearPower': 72.38777356557378}"
77.80831341074682,"{'dayahead': nan, 'balancing': 127.49536338380629}","{'dayahead': 110.29631200919292, 'balancing': 11.530166787368081}","{'SolarPower': 52.08378488450614, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,"{'dayahead': nan, 'balancing': 117.74650848906792}","{'dayahead': 104.8125126592309, 'balancing': 11.438797210865268}","{'SolarPower': 49.31381354615875, 'WindPower': 61.43090193320812, 'NuclearPower': 72.5976247723133}"
78.9044114298725,"{'dayahead': nan, 'balancing': 121.9098138133944}","{'dayahead': 110.31293227772244, 'balancing': 10.631821940990072}","{'SolarPower': 52.202033537828804, 'WindPower': 68.66180646621247, 'NuclearPower': 78.9044114298725}"
72.32751297814208,"{'dayahead': nan, 'balancing': 110.5128504791784}","{'dayahead': 107.14051356383376, 'balancing': 11.448481072522346}","{'SolarPower': 52.17719969253697, 'WindPower': 61.315456926587245, 'NuclearPower': 72.32751297814208}"
77.09319285063751,"{'dayahead': nan, 'balancing': 126.2737241093531}","{'dayahead': 110.89163710390669, 'balancing': 9.129539950011948}","{'SolarPower': 53.67517822405351, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,"{'dayahead': nan, 'balancing': 121.9361454381596}","{'dayahead': 113.47493893440499, 'balancing': 12.47133009928773}","{'SolarPower': 54.982821753812885, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,"{'dayahead': nan, 'balancing': 147.15264147222723}","{'dayahead': 106.95792958884866, 'balancing': 13.756344281244589}","{'SolarPower': 54.09309442944297, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,"{'dayahead': nan, 'balancing': 108.2960359767815}","{'dayahead': 103.9655104031835, 'balancing': 10.190897146678473}","{'SolarPower': 48.419094090331896, 'WindPower': 59.63659348571956, 'NuclearPower': 71.72798440346084}"
76.69219797358835,"{'dayahead': nan, 'balancing': 111.27014768587587}","{'dayahead': 106.09741448790862, 'balancing': 16.632079786779865}","{'SolarPower': 55.01646185961186, 'WindPower': 66.36607071168854, 'NuclearPower': 76.69219797358835}"
81.51108492714027,"{'dayahead': nan, 'balancing': 151.50122655213605}","{'dayahead': 112.28469001099255, 'balancing': 16.665001699700092}","{'SolarPower': 59.68397224011989, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,"{'dayahead': nan, 'balancing': 123.11770061240026}","{'dayahead': 113.88980408282534, 'balancing': 14.630831727741679}","{'SolarPower': 59.68788589835268, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,"{'dayahead': nan, 'balancing': 118.40480278277059}","{'dayahead': 106.70843925091711, 'balancing': 11.939048699769252}","{'SolarPower': 51.717973602781, 'WindPower': 62.82145082762657, 'NuclearPower': 73.89298793260474}"
80.1538787568306,"{'dayahead': nan, 'balancing': 138.41019834284708}","{'dayahead': 111.15296023885615, 'balancing': 13.488251742940763}","{'SolarPower': 55.21395384775596, 'WindPower': 67.98180916208037, 'NuclearPower': 80.1538787568306}"
76.78792918943535,"{'dayahead': nan, 'balancing': 114.4421201863693}","{'dayahead': 107.5919398401176, 'balancing': 10.377483006178023}","{'SolarPower': 53.47307561337752, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,"{'dayahead': nan, 'balancing': 127.12720424531264}","{'dayahead': 107.63923995014237, 'balancing': 13.615261181754779}","{'SolarPower': 51.986274774143546, 'WindPower': 66.14352933005661, 'NuclearPower': 76.36801901183969}"
70.51144102914388,"{'dayahead': nan, 'balancing': 109.21743405007996}","{'dayahead': 102.12113391348585, 'balancing': 10.182586758881659}","{'SolarPower': 44.62912222527718, 'WindPower': 61.66444453195329, 'NuclearPower': 70.5114410291439}"
77.11806090619307,"{'dayahead': nan, 'balancing': 119.10157733986479}","{'dayahead': 107.49787546044642, 'balancing': 14.195642396976721}","{'SolarPower': 52.74791593831414, 'WindPower': 67.6816580119589, 'NuclearPower': 77.11806090619307}"
75.78253255919854,"{'dayahead': nan, 'balancing': 130.86772481536434}","{'dayahead': 106.0168969001254, 'balancing': 13.263546642579714}","{'SolarPower': 50.209127143645254, 'WindPower': 65.2163540233461, 'NuclearPower': 75.78253255919853}"
