baseload,buy,sell,ppa
75.62036873861567,{'dayahead': 72.37293845149532},{'dayahead': 78.2540423292368},"{'SolarPower': 0.0, 'WindPower': 60.508450408525356, 'NuclearPower': 75.62036873861567}"
72.38777356557377,{'dayahead': 65.25281674536669},{'dayahead': 82.62367419249973},"{'SolarPower': 0.0, 'WindPower': 63.242867987016595, 'NuclearPower': 72.38777356557378}"
77.80831341074682,{'dayahead': 72.85335027285497},{'dayahead': 83.28813625143789},"{'SolarPower': 0.0, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,{'dayahead': 66.9170012150243},{'dayahead': 79.14525346702808},"{'SolarPower': 0.0, 'WindPower': 61.43090193320812, 'NuclearPower': 72.5976247723133}"
78.9044114298725,{'dayahead': 72.02719519798384},{'dayahead': 87.79402226270633},"{'SolarPower': 0.0, 'WindPower': 68.66180646621247, 'NuclearPower': 78.9044114298725}"
72.32751297814208,{'dayahead': 67.27020633018462},{'dayahead': 79.02016060171665},"{'SolarPower': 0.0, 'WindPower': 61.315456926587245, 'NuclearPower': 72.32751297814208}"
77.09319285063751,{'dayahead': 71.70624823022834},{'dayahead': 82.863374627796},"{'SolarPower': 0.0, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,{'dayahead': 71.19184470294867},{'dayahead': 87.23798295374681},"{'SolarPower': 0.0, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,{'dayahead': 73.19188982248255},{'dayahead': 86.3987955766484},"{'SolarPower': 0.0, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,{'dayahead': 66.26094574172434},{'dayahead': 80.01467076475116},"{'SolarPower': 0.0, 'WindPower': 59.63659348571956, 'NuclearPower': 71.72798440346084}"
76.69219797358835,{'dayahead': 70.12954728301824},{'dayahead': 85.3556073173938},"{'SolarPower': 0.0, 'WindPower': 66.36607071168854, 'NuclearPower': 76.69219797358835}"
81.51108492714027,{'dayahead': 76.13555506996101},{'dayahead': 89.70687963661518},"{'SolarPower': 0.0, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,{'dayahead': 79.3903477983744},{'dayahead': 88.79998478767003},"{'SolarPower': 0.0, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,{'dayahead': 67.55349338587293},{'dayahead': 81.97471346843489},"{'SolarPower': 0.0, 'WindPower': 62.82145082762657, 'NuclearPower': 73.89298793260474}"
80.1538787568306,{'dayahead': 74.07972388530438},{'dayahead': 85.91436323652214},"{'SolarPower': 0.0, 'WindPower': 67.98180916208037, 'NuclearPower': 80.1538787568306}"
76.78792918943535,{'dayahead': 70.51262563357011},{'dayahead': 83.53025713036834},"{'SolarPower': 0.0, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,{'dayahead': 69.7094622362199},{'dayahead': 83.97601886396285},"{'SolarPower': 0.0, 'WindPower': 66.14352933005661, 'NuclearPower': 76.36801901183969}"
70.51144102914388,{'dayahead': 63.610302328301096},{'dayahead': 81.01676773047187},"{'SolarPower': 0.0, 'WindPower': 61.66444453195329, 'NuclearPower': 70.5114410291439}"
77.11806090619307,{'dayahead': 70.21509720102488},{'dayahead': 86.04804075645819},"{'SolarPower': 0.0, 'WindPower': 67.6816580119589, 'NuclearPower': 77.11806090619307}"
75.78253255919854,{'dayahead': 69.03336056178911},{'dayahead': 83.96475923392263},"{'SolarPower': 0.0, 'WindPower': 65.2163540233461, 'NuclearPower': 75.78253255919853}"
77.28987260928962,{'dayahead': 71.10178972157944},{'dayahead': 84.7148034434702},"{'SolarPower': 0.0, 'WindPower': 66.49121033221336, 'NuclearPower': 77.28987260928962}"
82.67175785519126,{'dayahead': 75.26591090663025},{'dayahead': 91.81469909474771},"{'SolarPower': 0.0, 'WindPower': 72.8870391687093, 'NuclearPower': 82.67175785519125}"
76.070810564663,{'dayahead': 70.1932520654841},{'dayahead': 83.134916068959},"{'SolarPower': 0.0, 'WindPower': 64.79156805946089, 'NuclearPower': 76.07081056466303}"
72.35334904371584,{'dayahead': 64.32541537147738},{'dayahead': 82.21172790956082},"{'SolarPower': 0.0, 'WindPower': 62.7762780313552, 'NuclearPower': 72.35334904371584}"
73.08211748633879,{'dayahead': 65.48938028823845},{'dayahead': 84.0505109888595},"{'SolarPower': 0.0, 'WindPower': 64.6772577879056, 'NuclearPower': 73.0821174863388}"
75.4849522996357,{'dayahead': 68.13764286361248},{'dayahead': 84.44458074350395},"{'SolarPower': 0.0, 'WindPower': 65.80534090753098, 'NuclearPower': 75.4849522996357}"
75.04439651639345,{'dayahead': 65.45663551184992},{'dayahead': 88.12555613820629},"{'SolarPower': 0.0, 'WindPower': 67.8307879535029, 'NuclearPower': 75.04439651639345}"
83.48765926684882,{'dayahead': 79.24773508493865},{'dayahead': 87.76563633602363},"{'SolarPower': 0.0, 'WindPower': 69.98557288895532, 'NuclearPower': 83.48765926684882}"
