baseload,buy,sell,ppa
75.62036873861567,{'dayahead': 53.73413801377157},{'dayahead': 105.33743475933541},"{'SolarPower': 0.0, 'WindPower': 60.508450408525356, 'NuclearPower': 75.62036873861567}"
72.38777356557377,{'dayahead': 49.487444071114396},{'dayahead': 101.1582889524536},"{'SolarPower': 0.0, 'WindPower': 63.242867987016595, 'NuclearPower': 72.38777356557378}"
77.80831341074682,{'dayahead': 51.523645461406204},{'dayahead': 108.9746902173768},"{'SolarPower': 0.0, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,{'dayahead': 46.86006997119808},{'dayahead': 104.57239989997856},"{'SolarPower': 0.0, 'WindPower': 61.43090193320812, 'NuclearPower': 72.5976247723133}"
78.9044114298725,{'dayahead': 54.03392069442028},{'dayahead': 108.74195953229733},"{'SolarPower': 0.0, 'WindPower': 68.66180646621247, 'NuclearPower': 78.9044114298725}"
72.32751297814208,{'dayahead': 46.35187063496087},{'dayahead': 105.31086035119257},"{'SolarPower': 0.0, 'WindPower': 61.315456926587245, 'NuclearPower': 72.32751297814208}"
77.09319285063751,{'dayahead': 50.780396225125},{'dayahead': 111.25864695798332},"{'SolarPower': 0.0, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,{'dayahead': 52.235904510038836},{'dayahead': 112.05425472082148},"{'SolarPower': 0.0, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,{'dayahead': 58.96085404559604},{'dayahead': 106.57045923778198},"{'SolarPower': 0.0, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,{'dayahead': 47.98482106447956},{'dayahead': 102.95786378715415},"{'SolarPower': 0.0, 'WindPower': 59.63659348571956, 'NuclearPower': 71.72798440346084}"
76.69219797358835,{'dayahead': 55.62802287469311},{'dayahead': 103.42161681093461},"{'SolarPower': 0.0, 'WindPower': 66.36607071168854, 'NuclearPower': 76.69219797358835}"
81.51108492714027,{'dayahead': 57.37679135324035},{'dayahead': 113.1034012956512},"{'SolarPower': 0.0, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,{'dayahead': 61.951199454305744},{'dayahead': 112.95766852997318},"{'SolarPower': 0.0, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,{'dayahead': 53.01156974329437},{'dayahead': 103.20072909272751},"{'SolarPower': 0.0, 'WindPower': 62.82145082762657, 'NuclearPower': 73.89298793260474}"
80.1538787568306,{'dayahead': 56.28436770057963},{'dayahead': 109.71708825064816},"{'SolarPower': 0.0, 'WindPower': 67.98180916208037, 'NuclearPower': 80.1538787568306}"
76.78792918943535,{'dayahead': 54.20952976103443},{'dayahead': 107.38532641842835},"{'SolarPower': 0.0, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,{'dayahead': 51.99792842761602},{'dayahead': 106.30541417764475},"{'SolarPower': 0.0, 'WindPower': 66.14352933005661, 'NuclearPower': 76.36801901183969}"
