average,totals,averages,balance,fuel_emissions_intensity
0.07258243318248292,"{'buying': 85211.43589462386, 'selling': 55873.07070296159, 'baseload_ppa': 31878.2046537465}","{'buying': 0.05909664299899823, 'selling': 0.09065302837537664}",61216.56984540878,0.04763248302595739
0.07112158856771687,"{'buying': 88317.9013506386, 'selling': 61950.237737845695, 'baseload_ppa': 31236.60169894125}","{'buying': 0.058055100241906195, 'selling': 0.08790310783663623}",57604.26531173415,0.044821756537698355
0.0736767149459036,"{'buying': 86745.53551207483, 'selling': 60267.06725810741, 'baseload_ppa': 32358.813204240858}","{'buying': 0.05879797812034449, 'selling': 0.09211596190364948}",58837.28145820827,0.04578116378341594
0.07086187084409125,"{'buying': 82034.47067799585, 'selling': 60319.51494226331, 'baseload_ppa': 31122.533674724877}","{'buying': 0.055977012836907224, 'selling': 0.08933584413467274}",52837.48941045742,0.04110473127531266
0.07461239138864742,"{'buying': 89928.09173340567, 'selling': 62920.55255869489, 'baseload_ppa': 32769.76229789395}","{'buying': 0.0593902732918465, 'selling': 0.09304668411149955}",59777.301472604726,0.04695911474138364
0.07006653639698199,"{'buying': 80146.12207974486, 'selling': 61883.17598832605, 'baseload_ppa': 30773.222785554488}","{'buying': 0.05590250340622141, 'selling': 0.08907703479282082}",49036.1688769733,0.03800499243912969
0.07268178657122748,"{'buying': 84082.27198634025, 'selling': 64712.454243861524, 'baseload_ppa': 31921.84066208311}","{'buying': 0.05841864880502866, 'selling': 0.09278762112980242}",51291.65840456183,0.03990993050571464
0.07379678656471203,"{'buying': 88483.52475227579, 'selling': 63669.79252182944, 'baseload_ppa': 32411.548659221524}","{'buying': 0.05934976138715445, 'selling': 0.09372241426514273}",57225.280889667876,0.04460283842824722
0.07473895914216154,"{'buying': 92669.59589736276, 'selling': 60253.10350527113, 'baseload_ppa': 32825.350855237346}","{'buying': 0.061889781504947984, 'selling': 0.09188429233629164}",65241.84324732898,0.05081670419541528
0.07078467656348167,"{'buying': 83510.98296270752, 'selling': 59296.79582014216, 'baseload_ppa': 31088.62994668115}","{'buying': 0.056094540615887103, 'selling': 0.09003937816013592}",55302.81708924651,0.04299613565863797
0.07294789060781186,"{'buying': 90557.08729552769, 'selling': 63220.90218814871, 'baseload_ppa': 32038.71355495097}","{'buying': 0.06050182669144905, 'selling': 0.08979824260493464}",59374.89866232994,0.04635580021669284
0.07473706727237782,"{'buying': 88080.30792925814, 'selling': 65400.49835481493, 'baseload_ppa': 32824.51994602834}","{'buying': 0.06135582751647665, 'selling': 0.09397645713155899}",55504.329520471554,0.043187800956954306
0.0766373305627149,"{'buying': 94333.1955658216, 'selling': 60313.39242208863, 'baseload_ppa': 33659.11558314439}","{'buying': 0.06317377943380048, 'selling': 0.09550440725032192}",67678.91872687737,0.05223836099028859
0.07189604049126185,"{'buying': 90034.78247627938, 'selling': 57997.53046012623, 'baseload_ppa': 31576.740983762204}","{'buying': 0.05879457015574802, 'selling': 0.09055795302874853}",63613.992999915354,0.048594601243491825
0.07563997542255377,"{'buying': 94634.93824515073, 'selling': 62033.62814336168, 'baseload_ppa': 33221.077205585614}","{'buying': 0.0620985711780855, 'selling': 0.09259929090867942}",65822.38730737465,0.051884223004696424
0.07296939818097736,"{'buying': 87200.60396025423, 'selling': 61535.87456950713, 'baseload_ppa': 32048.159681085257}","{'buying': 0.0593569445348407, 'selling': 0.09233397737887948}",57712.88907183237,0.044906276454808415
0.07259067346469597,"{'buying': 85588.52008123598, 'selling': 61809.87375348679, 'baseload_ppa': 31881.82378569447}","{'buying': 0.058572510730203156, 'selling': 0.09048751392601605}",55660.47011344367,0.04363429276022976
