baseload,buy,sell,ppa
75.62036873861567,"{'dayahead': nan, 'balancing': 72.22614249061236}","{'dayahead': 123.4019325811136, 'balancing': 120.74715962092633}","{'SolarPower': 0.0, 'WindPower': 60.508450408525356, 'NuclearPower': 75.62036873861567}"
72.38777356557377,"{'dayahead': nan, 'balancing': 89.08386970738086}","{'dayahead': 118.64969404409219, 'balancing': 120.31515987544871}","{'SolarPower': 0.0, 'WindPower': 63.242867987016595, 'NuclearPower': 72.38777356557378}"
77.80831341074682,"{'dayahead': nan, 'balancing': 84.3754045792958}","{'dayahead': 134.06906135072035, 'balancing': 126.59819370230304}","{'SolarPower': 0.0, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,"{'dayahead': nan, 'balancing': 87.86818819320102}","{'dayahead': 127.5999039860877, 'balancing': 114.12583205491022}","{'SolarPower': 0.0, 'WindPower': 61.43090193320812, 'NuclearPower': 72.5976247723133}"
78.9044114298725,"{'dayahead': nan, 'balancing': 95.74364067750355}","{'dayahead': 129.4530647043475, 'balancing': 126.95455798894137}","{'SolarPower': 0.0, 'WindPower': 68.66180646621247, 'NuclearPower': 78.9044114298725}"
72.32751297814208,"{'dayahead': nan, 'balancing': 64.39256725597426}","{'dayahead': 120.81847513295848, 'balancing': 107.28854703694756}","{'SolarPower': 0.0, 'WindPower': 61.315456926587245, 'NuclearPower': 72.32751297814208}"
77.09319285063751,"{'dayahead': nan, 'balancing': 76.77544882057379}","{'dayahead': 133.6060608383433, 'balancing': 114.94501044813344}","{'SolarPower': 0.0, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,"{'dayahead': nan, 'balancing': 71.323705663632}","{'dayahead': 135.30339990285688, 'balancing': 120.34787210502292}","{'SolarPower': 0.0, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,"{'dayahead': nan, 'balancing': 103.6587877105531}","{'dayahead': 130.28157938766967, 'balancing': 125.67561650588024}","{'SolarPower': 0.0, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,"{'dayahead': nan, 'balancing': 96.234195282047}","{'dayahead': 125.72477682568396, 'balancing': 126.95664114496212}","{'SolarPower': 0.0, 'WindPower': 59.63659348571956, 'NuclearPower': 71.72798440346084}"
76.69219797358835,"{'dayahead': nan, 'balancing': 80.47684780161138}","{'dayahead': 124.3959573524733, 'balancing': 112.37582998812626}","{'SolarPower': 0.0, 'WindPower': 66.36607071168854, 'NuclearPower': 76.69219797358835}"
81.51108492714027,"{'dayahead': nan, 'balancing': 82.14517059398496}","{'dayahead': 129.47860989794086, 'balancing': 119.49649782089743}","{'SolarPower': 0.0, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,"{'dayahead': nan, 'balancing': 72.9276094314228}","{'dayahead': 130.99605718546752, 'balancing': 118.62109277015465}","{'SolarPower': 0.0, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,"{'dayahead': nan, 'balancing': 65.8714432115394}","{'dayahead': 128.9574619511911, 'balancing': 123.70049672539369}","{'SolarPower': 0.0, 'WindPower': 62.82145082762657, 'NuclearPower': 73.89298793260474}"
80.1538787568306,"{'dayahead': nan, 'balancing': 83.6284775685309}","{'dayahead': 131.73656598416795, 'balancing': 135.56187143683783}","{'SolarPower': 0.0, 'WindPower': 67.98180916208037, 'NuclearPower': 80.1538787568306}"
76.78792918943535,"{'dayahead': nan, 'balancing': 80.72294646565018}","{'dayahead': 130.0462129886796, 'balancing': 116.58939025811091}","{'SolarPower': 0.0, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,"{'dayahead': nan, 'balancing': 75.3322717523212}","{'dayahead': 123.083054732966, 'balancing': 119.25346838386744}","{'SolarPower': 0.0, 'WindPower': 66.14352933005661, 'NuclearPower': 76.36801901183969}"
70.51144102914388,"{'dayahead': nan, 'balancing': 75.19671190928283}","{'dayahead': 118.17261213505755, 'balancing': 105.99050397134252}","{'SolarPower': 0.0, 'WindPower': 61.66444453195329, 'NuclearPower': 70.5114410291439}"
77.11806090619307,"{'dayahead': nan, 'balancing': 81.93370233347028}","{'dayahead': 123.44649309341132, 'balancing': 120.01655828251431}","{'SolarPower': 0.0, 'WindPower': 67.6816580119589, 'NuclearPower': 77.11806090619307}"
75.78253255919854,"{'dayahead': nan, 'balancing': 93.77818114420083}","{'dayahead': 129.42437453479272, 'balancing': 124.36771417114569}","{'SolarPower': 0.0, 'WindPower': 65.2163540233461, 'NuclearPower': 75.78253255919853}"
