average,totals,averages,balance,fuel_emissions_intensity
0.07258243318248292,"{'buying': 636.1192899582934, 'selling': 21839.569487091794, 'baseload_ppa': 31878.2046537465}","{'buying': 0.07218589774779013, 'selling': 0.10572114277747945}",10674.754456612998,0.013062143974514504
0.07112158856771687,"{'buying': 1003.626379662397, 'selling': 20775.623082623424, 'baseload_ppa': 31236.60169894125}","{'buying': 0.07674387795242782, 'selling': 0.10239881525310578}",11464.604995980222,0.01389143947168329
0.0736767149459036,"{'buying': 427.7599501911157, 'selling': 21098.64544349501, 'baseload_ppa': 32358.813204240858}","{'buying': 0.0726795050293913, 'selling': 0.1091328536906047}",11687.927710936961,0.014185580638503777
0.07086187084409125,"{'buying': 634.0790601075809, 'selling': 22908.88206681858, 'baseload_ppa': 31122.533674724877}","{'buying': 0.07319647879311482, 'selling': 0.10507131279356094}",8847.730668013879,0.010678022245533193
0.07461239138864742,"{'buying': 529.92318446016, 'selling': 17980.874280359203, 'baseload_ppa': 32769.76229789395}","{'buying': 0.07884095533534154, 'selling': 0.1075534966459447}",15318.811201994904,0.018757154231745888
0.07006653639698199,"{'buying': 934.3982487945484, 'selling': 28208.715569837266, 'baseload_ppa': 30773.222785554488}","{'buying': 0.061073721009906524, 'selling': 0.09870551009607148}",3498.9054645117685,0.0042213131794300056
0.07268178657122748,"{'buying': 487.9054502043915, 'selling': 28371.369567384983, 'baseload_ppa': 31921.84066208311}","{'buying': 0.06460935151322679, 'selling': 0.10450724575350871}",4038.376544902516,0.004891618154638269
0.07379678656471203,"{'buying': 778.2808772877306, 'selling': 21396.199860221517, 'baseload_ppa': 32411.548659221524}","{'buying': 0.07040520472866439, 'selling': 0.1093535733520984}",11793.62967628774,0.014242468916095064
0.07473895914216154,"{'buying': 804.1646234758865, 'selling': 18551.72408356751, 'baseload_ppa': 32825.350855237346}","{'buying': 0.0820729287583904, 'selling': 0.10758619937926525}",15077.791395145723,0.018269467339325968
0.07078467656348167,"{'buying': 649.310976016591, 'selling': 19584.872002601664, 'baseload_ppa': 31088.62994668115}","{'buying': 0.07862778750168335, 'selling': 0.10668516691278254}",12153.068920096077,0.01470021248089807
0.07294789060781186,"{'buying': 894.2411716990299, 'selling': 21734.229658447053, 'baseload_ppa': 32038.71355495097}","{'buying': 0.06997721848248317, 'selling': 0.10232858127278749}",11198.725068202948,0.01353000800549429
0.07473706727237782,"{'buying': 780.4304391341552, 'selling': 30486.398179399006, 'baseload_ppa': 32824.51994602834}","{'buying': 0.07504679662773768, 'selling': 0.10586822144800143}",3118.5522057634917,0.0038034577686553083
0.0766373305627149,"{'buying': 436.88492751652626, 'selling': 17831.96130665254, 'baseload_ppa': 33659.11558314439}","{'buying': 0.07227051278706151, 'selling': 0.10902050310676659}",16264.039204008375,0.01959907881345072
0.07189604049126185,"{'buying': 656.4464509660093, 'selling': 15483.980318632326, 'baseload_ppa': 31576.740983762204}","{'buying': 0.06916459522582222, 'selling': 0.10818544642119073}",16749.207116095888,0.019918325037953735
0.07563997542255377,"{'buying': 819.3576475401669, 'selling': 17872.250753838038, 'baseload_ppa': 33221.077205585614}","{'buying': 0.07696988470051747, 'selling': 0.10871863690709664}",16168.18409928774,0.02000512729531815
0.07296939818097736,"{'buying': 398.45405059201835, 'selling': 21709.56726295731, 'baseload_ppa': 32048.159681085257}","{'buying': 0.07226230434295904, 'selling': 0.10575112279182229}",10737.046468719967,0.012981826941431674
0.07259067346469597,"{'buying': 808.1834967919692, 'selling': 22948.9508154124, 'baseload_ppa': 31881.82378569447}","{'buying': 0.06944241711007211, 'selling': 0.10394718126558715}",9741.056467074035,0.011815869411725792
0.06938381287185001,"{'buying': 892.9530591090647, 'selling': 24265.275103782744, 'baseload_ppa': 30473.370613316525}","{'buying': 0.06460709921191506, 'selling': 0.09858028016539275}",7101.048568642847,0.008480409302798909
0.072979536535787,"{'buying': 763.8551544340886, 'selling': 23666.425473893156, 'baseload_ppa': 32052.612446517647}","{'buying': 0.07468155570043022, 'selling': 0.10337726588871879}",9150.04212705858,0.01101675235605089
0.0722634120326946,"{'buying': 630.5374619578793, 'selling': 23742.5924204273, 'baseload_ppa': 31738.090564759466}","{'buying': 0.07928810131261646, 'selling': 0.10642672848928615}",8626.035606290046,0.010470172183461015
