baseload,buy,sell,ppa
75.62036873861567,{'dayahead': 50.29309343506151},{'dayahead': 107.46697489068468},"{'SolarPower': 0.0, 'WindPower': 60.508450408525356, 'NuclearPower': 75.62036873861567}"
72.38777356557377,{'dayahead': 45.64450975901464},{'dayahead': 104.75656080694911},"{'SolarPower': 0.0, 'WindPower': 63.242867987016595, 'NuclearPower': 72.38777356557378}"
77.80831341074682,{'dayahead': 49.061472544153396},{'dayahead': 111.16559388701772},"{'SolarPower': 0.0, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,{'dayahead': 43.89913418697462},{'dayahead': 106.42130304165269},"{'SolarPower': 0.0, 'WindPower': 61.43090193320812, 'NuclearPower': 72.5976247723133}"
78.9044114298725,{'dayahead': 50.93260549076756},{'dayahead': 111.26417154444158},"{'SolarPower': 0.0, 'WindPower': 68.66180646621247, 'NuclearPower': 78.9044114298725}"
72.32751297814208,{'dayahead': 42.196401153825754},{'dayahead': 108.16934596109083},"{'SolarPower': 0.0, 'WindPower': 61.315456926587245, 'NuclearPower': 72.32751297814208}"
77.09319285063751,{'dayahead': 48.04313684166609},{'dayahead': 111.92591271583218},"{'SolarPower': 0.0, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,{'dayahead': 48.508117827508315},{'dayahead': 114.80100900864775},"{'SolarPower': 0.0, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,{'dayahead': 56.143028550922025},{'dayahead': 108.84688684709712},"{'SolarPower': 0.0, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,{'dayahead': 44.94524249542264},{'dayahead': 105.24989601006712},"{'SolarPower': 0.0, 'WindPower': 59.63659348571956, 'NuclearPower': 71.72798440346084}"
76.69219797358835,{'dayahead': 52.46599157747265},{'dayahead': 106.10395449907006},"{'SolarPower': 0.0, 'WindPower': 66.36607071168854, 'NuclearPower': 76.69219797358835}"
81.51108492714027,{'dayahead': 54.09507104142849},{'dayahead': 114.29402671704918},"{'SolarPower': 0.0, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,{'dayahead': 59.57580610211195},{'dayahead': 114.25739662080079},"{'SolarPower': 0.0, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,{'dayahead': 49.214701072340276},{'dayahead': 107.22540337416852},"{'SolarPower': 0.0, 'WindPower': 62.82145082762657, 'NuclearPower': 73.89298793260474}"
80.1538787568306,{'dayahead': 52.54882377034417},{'dayahead': 111.47532772175508},"{'SolarPower': 0.0, 'WindPower': 67.98180916208037, 'NuclearPower': 80.1538787568306}"
76.78792918943535,{'dayahead': 50.698110100418454},{'dayahead': 109.29321190223233},"{'SolarPower': 0.0, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,{'dayahead': 48.54493410389958},{'dayahead': 108.30628710286949},"{'SolarPower': 0.0, 'WindPower': 66.14352933005661, 'NuclearPower': 76.36801901183969}"
70.51144102914388,{'dayahead': 42.0991271741719},{'dayahead': 104.07077088130407},"{'SolarPower': 0.0, 'WindPower': 61.66444453195329, 'NuclearPower': 70.5114410291439}"
77.11806090619307,{'dayahead': 51.127174042017174},{'dayahead': 107.97276543180854},"{'SolarPower': 0.0, 'WindPower': 67.6816580119589, 'NuclearPower': 77.11806090619307}"
75.78253255919854,{'dayahead': 49.28867799568178},{'dayahead': 107.74067104093687},"{'SolarPower': 0.0, 'WindPower': 65.2163540233461, 'NuclearPower': 75.78253255919853}"
