average,totals,averages,balance,fuel_emissions_intensity
0.07258243318248292,"{'buying': 82227.6915554319, 'selling': 58939.45660196243, 'baseload_ppa': 31878.2046537465}","{'buying': 0.058054619294468084, 'selling': 0.09018046295887149}",55166.43960721597,0.04294653306810385
0.07112158856771687,"{'buying': 86175.88470476093, 'selling': 65359.14565672145, 'baseload_ppa': 31236.60169894125}","{'buying': 0.056711460976029214, 'selling': 0.08867568348163642}",52053.34074698073,0.04050259391919993
0.0736767149459036,"{'buying': 85518.08808442684, 'selling': 63345.608627135574, 'baseload_ppa': 32358.813204240858}","{'buying': 0.05817560456494884, 'selling': 0.09134969575308512}",54531.29266153212,0.04243068304289758
0.07086187084409125,"{'buying': 78848.74808294381, 'selling': 62443.770428233736, 'baseload_ppa': 31122.533674724877}","{'buying': 0.05487493059462931, 'selling': 0.08955455645519882}",47527.51132943496,0.03698105565833321
0.07461239138864742,"{'buying': 87077.22094854822, 'selling': 65055.99708615186, 'baseload_ppa': 32769.76229789395}","{'buying': 0.05830412490077647, 'selling': 0.0932588598057257}",54790.986160290304,0.043161013552520854
0.07006653639698199,"{'buying': 76718.36802612946, 'selling': 64397.52338231464, 'baseload_ppa': 30773.222785554488}","{'buying': 0.05447169090421158, 'selling': 0.08948758618975639}",43094.067429369316,0.033497532934067716
0.07268178657122748,"{'buying': 80750.13549782611, 'selling': 66881.27864714264, 'baseload_ppa': 31921.84066208311}","{'buying': 0.05753028802307363, 'selling': 0.09236994574373938}",45790.69751276658,0.03583081991754057
0.07379678656471203,"{'buying': 85474.34959547056, 'selling': 66793.34203127254, 'baseload_ppa': 32411.548659221524}","{'buying': 0.058190891711398025, 'selling': 0.09342928026178915}",51092.55622341955,0.03999616919647405
0.07473895914216154,"{'buying': 90972.66841653213, 'selling': 63127.20004311162, 'baseload_ppa': 32825.350855237346}","{'buying': 0.061313224597287455, 'selling': 0.09166013792482748}",60670.819228657856,0.04720783562976316
0.07078467656348167,"{'buying': 81886.86299962818, 'selling': 61683.14738431953, 'baseload_ppa': 31088.62994668115}","{'buying': 0.05529407481009685, 'selling': 0.0896698492135905}",51292.3455619898,0.039846719528170135
0.07294789060781186,"{'buying': 87195.47088707166, 'selling': 65528.704074569716, 'baseload_ppa': 32038.71355495097}","{'buying': 0.05929515641553168, 'selling': 0.09030127453763298}",53705.48036745291,0.04206913354018343
0.07473706727237782,"{'buying': 85541.4654637604, 'selling': 69123.91027166582, 'baseload_ppa': 32824.51994602834}","{'buying': 0.060475005596479586, 'selling': 0.09318544064749736}",49242.075138122906,0.0385814645581447
0.0766373305627149,"{'buying': 93067.49463008605, 'selling': 63898.906423539716, 'baseload_ppa': 33659.11558314439}","{'buying': 0.06296870064470173, 'selling': 0.09443275608746113}",62827.70378969072,0.0487698993939094
0.07189604049126185,"{'buying': 87250.7746790989, 'selling': 60735.81779465553, 'baseload_ppa': 31576.740983762204}","{'buying': 0.057565005101735914, 'selling': 0.09111614814070039}",58091.697868205585,0.044089971039581184
0.07563997542255377,"{'buying': 89615.14891723843, 'selling': 65628.20467501439, 'baseload_ppa': 33221.077205585614}","{'buying': 0.060660301727528385, 'selling': 0.09258082852862594}",57208.021447809646,0.045580167940196155
0.07296939818097736,"{'buying': 84367.77024439996, 'selling': 64239.43805970824, 'baseload_ppa': 32048.159681085257}","{'buying': 0.05832762132340166, 'selling': 0.09217417915785593}",52176.49186577698,0.040586204229094716
0.07259067346469597,"{'buying': 82924.58996735378, 'selling': 65526.8290545702, 'baseload_ppa': 31881.82378569447}","{'buying': 0.05757258033316751, 'selling': 0.08996897432653708}",49279.58469847806,0.038705115567785234
0.06938381287185001,"{'buying': 78733.42927387716, 'selling': 65246.816765669166, 'baseload_ppa': 30473.370613316525}","{'buying': 0.053824303002435854, 'selling': 0.08771371964369427}",43959.98312152452,0.033879533719783916
0.072979536535787,"{'buying': 86355.08592952989, 'selling': 65628.09516168528, 'baseload_ppa': 32052.612446517647}","{'buying': 0.0587454397173822, 'selling': 0.09016071490102218}",52779.60321436226,0.04104925142578565
0.0722634120326946,"{'buying': 83873.79391358426, 'selling': 64230.49042880889, 'baseload_ppa': 31738.090564759466}","{'buying': 0.05716330345682863, 'selling': 0.09086362714292842}",51381.394049534836,0.03998098077060125
