baseload,buy,sell,ppa
75.62036873861567,"{'dayahead': nan, 'balancing': 166.4071409194466}","{'dayahead': 140.07220469415068, 'balancing': nan}","{'SolarPower': 0.0, 'WindPower': 60.508450408525356, 'NuclearPower': 75.62036873861567}"
72.38777356557377,"{'dayahead': nan, 'balancing': 158.2571831373694}","{'dayahead': 138.4249431421839, 'balancing': nan}","{'SolarPower': 0.0, 'WindPower': 63.242867987016595, 'NuclearPower': 72.38777356557378}"
77.80831341074682,"{'dayahead': nan, 'balancing': 171.51026513618683}","{'dayahead': 145.94202664717278, 'balancing': nan}","{'SolarPower': 0.0, 'WindPower': 65.43659307018432, 'NuclearPower': 77.8083134107468}"
72.59762477231331,"{'dayahead': nan, 'balancing': 167.0020849547139}","{'dayahead': 142.22600885304306, 'balancing': 74.71485456615311}","{'SolarPower': 0.0, 'WindPower': 61.43090193320812, 'NuclearPower': 72.5976247723133}"
78.9044114298725,"{'dayahead': nan, 'balancing': 144.58683541066938}","{'dayahead': 145.0853268667708, 'balancing': nan}","{'SolarPower': 0.0, 'WindPower': 68.66180646621247, 'NuclearPower': 78.9044114298725}"
72.32751297814208,"{'dayahead': nan, 'balancing': 142.1774080883845}","{'dayahead': 135.98210573727985, 'balancing': 75.0953}","{'SolarPower': 0.0, 'WindPower': 61.315456926587245, 'NuclearPower': 72.32751297814208}"
77.09319285063751,"{'dayahead': nan, 'balancing': 160.35721676803965}","{'dayahead': 143.0373324603596, 'balancing': nan}","{'SolarPower': 0.0, 'WindPower': 65.62504151755331, 'NuclearPower': 77.09319285063754}"
78.4757252959927,"{'dayahead': nan, 'balancing': 178.23756732190358}","{'dayahead': 150.40722221669145, 'balancing': nan}","{'SolarPower': 0.0, 'WindPower': 68.25761877212216, 'NuclearPower': 78.4757252959927}"
79.75427436247722,"{'dayahead': nan, 'balancing': 208.97009761170108}","{'dayahead': 142.5250516972762, 'balancing': nan}","{'SolarPower': 0.0, 'WindPower': 68.68194427139962, 'NuclearPower': 79.75427436247722}"
71.72798440346084,"{'dayahead': nan, 'balancing': 153.5711431688996}","{'dayahead': 144.68404048743676, 'balancing': nan}","{'SolarPower': 0.0, 'WindPower': 59.63659348571956, 'NuclearPower': 71.72798440346084}"
76.69219797358835,"{'dayahead': nan, 'balancing': 158.60133471567693}","{'dayahead': 139.41518483564542, 'balancing': 72.87361007720453}","{'SolarPower': 0.0, 'WindPower': 66.36607071168854, 'NuclearPower': 76.69219797358835}"
81.51108492714027,"{'dayahead': nan, 'balancing': 183.18514124612625}","{'dayahead': 140.87541860137347, 'balancing': nan}","{'SolarPower': 0.0, 'WindPower': 70.6665047959675, 'NuclearPower': 81.51108492714026}"
83.86848360655738,"{'dayahead': nan, 'balancing': 175.72203017376376}","{'dayahead': 147.44885287430293, 'balancing': 70.31252260996506}","{'SolarPower': 0.0, 'WindPower': 70.32889842458252, 'NuclearPower': 83.86848360655736}"
73.89298793260473,"{'dayahead': nan, 'balancing': 181.52158489212226}","{'dayahead': 147.14782356723813, 'balancing': nan}","{'SolarPower': 0.0, 'WindPower': 62.82145082762657, 'NuclearPower': 73.89298793260474}"
80.1538787568306,"{'dayahead': nan, 'balancing': 192.871323234138}","{'dayahead': 150.37085281319358, 'balancing': nan}","{'SolarPower': 0.0, 'WindPower': 67.98180916208037, 'NuclearPower': 80.1538787568306}"
76.78792918943535,"{'dayahead': nan, 'balancing': 162.8170345672613}","{'dayahead': 141.7276474736229, 'balancing': nan}","{'SolarPower': 0.0, 'WindPower': 65.2413158961586, 'NuclearPower': 76.78792918943533}"
76.3680190118397,"{'dayahead': nan, 'balancing': 176.29239251546443}","{'dayahead': 141.1320736991602, 'balancing': 83.07201320104906}","{'SolarPower': 0.0, 'WindPower': 66.14352933005661, 'NuclearPower': 76.36801901183969}"
70.51144102914388,"{'dayahead': nan, 'balancing': 146.09034286548308}","{'dayahead': 133.52345063782303, 'balancing': 51.63234702700713}","{'SolarPower': 0.0, 'WindPower': 61.66444453195329, 'NuclearPower': 70.5114410291439}"
77.11806090619307,"{'dayahead': nan, 'balancing': 156.42309923286064}","{'dayahead': 138.25710126809076, 'balancing': 91.52812922802386}","{'SolarPower': 0.0, 'WindPower': 67.6816580119589, 'NuclearPower': 77.11806090619307}"
75.78253255919854,"{'dayahead': nan, 'balancing': 192.72295870585776}","{'dayahead': 142.85513471156315, 'balancing': nan}","{'SolarPower': 0.0, 'WindPower': 65.2163540233461, 'NuclearPower': 75.78253255919853}"
