,Optimal Profits,Realized Profits,Percentage Obtained
0,155554541.50678194,104329344.35948402,67.06930144815826
1,154828615.50975525,100224769.5849524,64.73271704650588
2,144899370.21009657,116124479.15840244,80.1414657565647
3,165594942.5455576,93369324.03242886,56.384164031302824
4,169464873.82746583,95700738.78000201,56.4723158366353
5,146946649.6238234,114337443.39472389,77.80881271360894
6,148512976.3569219,113998293.11956938,76.75981985950962
7,165329998.60604787,99549073.59007275,60.21234768608483
8,150082284.8363304,107095893.27186094,71.35811757440425
9,147540241.3695314,111909286.88691206,75.85000935888566
10,156028152.14725608,108052795.38227119,69.25211501594484
11,158417155.31064156,106467989.70878246,67.20736115984943
12,157861878.71120992,104792394.10336483,66.3823305277333
13,164199945.50171137,89916808.18127613,54.76055908942977
14,161525457.83571184,103337978.27274776,63.976279440639765
15,169401873.6460092,94771786.05236179,55.944945597474174
16,152127521.3544094,109920870.10274823,72.25574250083723
17,155240268.62487435,111574074.56760922,71.87186388940037
18,151751895.3731724,108743301.58350837,71.65861178609876
19,155003927.73481202,100669484.88139205,64.94640900559766
20,166909894.4366204,99646345.20132591,59.700681938399974
21,152740524.32393393,108433107.82235017,70.99170852156035
22,165660884.82924116,99951196.68842271,60.334820009835006
23,156029807.2332495,101652214.95560634,65.14922805976816
24,168335890.26273265,84688477.28241521,50.30922232343706
25,152112866.97903785,109209596.87041497,71.79510782967805
26,158586031.4896453,104785806.6605418,66.07505445231075
27,158974424.98851722,102746120.59342667,64.63059740637405
28,154558819.45025933,104677165.66106956,67.72642676321499
29,146846169.17954993,110133320.00502813,74.99911003491503
30,151875363.06959426,114493918.73049937,75.38676215577803
31,152424971.86559343,119348790.06777631,78.3000243378865
32,153520660.52824286,111903623.50142586,72.89157245440538
33,165199825.17588457,110155622.43612042,66.68022942448043
34,151648578.13695866,115415787.99801625,76.10739870820325
35,146929269.46102256,121007642.2677584,82.35775125789988
36,169083719.89338082,93303664.32686669,55.18193258682812
37,168640895.75630903,101188284.04563265,60.00222163896274
38,157197171.73729172,109275781.1641101,69.51510638291383
39,158499128.63489437,110284063.86967413,69.58023354419537
