,price,solar,wind,Forecasted Load,Actual Load,Residual Load,Imbalance Long,Imbalance Short,gas,oil,ets,gas_with_ets,emissions
2015-01-01 00:00:00+00:00,48.1,0.0,0.11265099934109378,5010.0,5340.5,4827.6,28.99,67.11,2.87599992752075,43.52999877929688,6.93,3.24230798532875,0.10576024668279331
2015-01-01 01:00:00+00:00,47.33,0.0,0.12101910828025478,4820.0,5123.9,4572.9,21.57,73.04,2.87599992752075,43.52999877929688,6.928630952380952,3.2422356197913214,0.10530535373734928
2015-01-01 02:00:00+00:00,42.27,0.0,0.13101251921809795,4521.0,4771.1,4174.6,26.74,57.75,2.87599992752075,43.52999877929688,6.927261904761904,3.242163254253893,0.10263719080896283
2015-01-01 03:00:00+00:00,38.41,0.0,0.15512848671205798,4250.0,4443.5,3737.2,30.72,46.04,2.87599992752075,43.52999877929688,6.925892857142857,3.242090888716465,0.09990069939103831
2015-01-01 04:00:00+00:00,35.72,0.0,0.15824730946628596,4083.0,4234.9,3514.4,29.41,41.96,2.87599992752075,43.52999877929688,6.9245238095238095,3.242018523179036,0.09862586460147488
2015-01-01 05:00:00+00:00,35.13,0.0,0.16795519437733364,3981.0,4118.2,3353.5,30.79,39.41,2.87599992752075,43.52999877929688,6.923154761904762,3.2419461576416078,0.09803071383025962
2015-01-01 06:00:00+00:00,36.22,0.0,0.15938941357346806,3940.0,4073.8,3348.1000000000004,34.32,38.09,2.87599992752075,43.52999877929688,6.921785714285714,3.2418737921041787,0.09912815933915675
2015-01-01 07:00:00+00:00,32.4,0.0007556675062972292,0.19016033384581593,3797.0,3920.8,3054.7,30.16,34.59,2.87599992752075,43.52999877929688,6.920416666666666,3.24180142656675,0.09578404310661273
2015-01-01 08:00:00+00:00,36.6,0.1282115869017632,0.18548209971447396,3769.0,3883.8,2988.4,22.88,49.53,2.87599992752075,43.52999877929688,6.919047619047618,3.241729061029321,0.09830053232361893
2015-01-01 09:00:00+00:00,43.1,0.44584382871536526,0.17588403250603996,4045.0,4234.7,3256.9,24.32,59.63,2.87599992752075,43.52999877929688,6.917678571428572,3.2416566954918933,0.10150400533542354
2015-01-01 10:00:00+00:00,45.14,0.6372795969773299,0.17061278278058423,4505.0,4633.4,3603.6,26.15,61.43,2.87599992752075,43.52999877929688,6.916309523809524,3.2415843299544647,0.10204450301424549
2015-01-01 11:00:00+00:00,45.14,0.7022670025188917,0.13683285745662202,4983.0,4989.1,4087.3,25.76,58.57,2.87599992752075,43.52999877929688,6.914940476190476,3.241511964417036,0.10301814270771739
2015-01-01 12:00:00+00:00,47.35,0.7299748110831235,0.07720184493740391,5204.0,5165.2,4523.9,23.41,61.18,2.87599992752075,43.52999877929688,6.913571428571428,3.2414395988796074,0.10681531852264908
