,price,solar,wind,Forecasted Load,Actual Load,Residual Load,Imbalance Long,Imbalance Short,gas,oil,ets,gas_with_ets
2015-01-01 00:00:00+00:00,48.1,0.0,512.9,5010.0,5340.5,4827.6,28.99,67.11,2.87599992752075,43.52999877929688,6.93,3.24230798532875
2015-01-01 01:00:00+00:00,47.33,0.0,551.0,4820.0,5123.9,4572.9,21.57,73.04,2.87599992752075,43.52999877929688,6.928630952380952,3.2422356197913214
2015-01-01 02:00:00+00:00,42.27,0.0,596.5,4521.0,4771.1,4174.6,26.74,57.75,2.87599992752075,43.52999877929688,6.927261904761904,3.242163254253893
2015-01-01 03:00:00+00:00,38.41,0.0,706.3,4250.0,4443.5,3737.2,30.72,46.04,2.87599992752075,43.52999877929688,6.925892857142857,3.2420908887164646
2015-01-01 04:00:00+00:00,35.72,0.0,720.5,4083.0,4234.9,3514.4,29.41,41.96,2.87599992752075,43.52999877929688,6.9245238095238095,3.242018523179036
2015-01-01 05:00:00+00:00,35.13,0.0,764.7,3981.0,4118.2,3353.5,30.79,39.41,2.87599992752075,43.52999877929688,6.923154761904762,3.2419461576416073
2015-01-01 06:00:00+00:00,36.22,0.0,725.7,3940.0,4073.8,3348.1000000000004,34.32,38.09,2.87599992752075,43.52999877929688,6.921785714285714,3.2418737921041787
2015-01-01 07:00:00+00:00,32.4,0.3,865.8,3797.0,3920.8,3054.7,30.16,34.59,2.87599992752075,43.52999877929688,6.920416666666666,3.24180142656675
2015-01-01 08:00:00+00:00,36.6,50.9,844.5,3769.0,3883.8,2988.4,22.88,49.53,2.87599992752075,43.52999877929688,6.9190476190476184,3.2417290610293215
2015-01-01 09:00:00+00:00,43.1,177.0,800.8,4045.0,4234.7,3256.9,24.32,59.63,2.87599992752075,43.52999877929688,6.917678571428572,3.2416566954918933
2015-01-01 10:00:00+00:00,45.14,253.0,776.8,4505.0,4633.4,3603.6,26.15,61.43,2.87599992752075,43.52999877929688,6.916309523809524,3.2415843299544647
2015-01-01 11:00:00+00:00,45.14,278.8,623.0,4983.0,4989.1,4087.3,25.76,58.57,2.87599992752075,43.52999877929688,6.914940476190476,3.241511964417036
2015-01-01 12:00:00+00:00,47.35,289.8,351.5,5204.0,5165.2,4523.9,23.41,61.18,2.87599992752075,43.52999877929688,6.913571428571428,3.2414395988796074
2015-01-01 13:00:00+00:00,47.35,283.0,218.3,5057.0,4934.6,4433.3,28.41,62.21,2.87599992752075,43.52999877929688,6.9122023809523805,3.241367233342179
2015-01-01 14:00:00+00:00,43.61,257.9,132.3,4901.0,4685.4,4295.2,36.2,50.8,2.87599992752075,43.52999877929688,6.910833333333333,3.24129486780475
2015-01-01 15:00:00+00:00,44.91,196.0,89.0,4881.0,4634.8,4349.8,38.7,51.06,2.87599992752075,43.52999877929688,6.909464285714286,3.2412225022673216
2015-01-01 16:00:00+00:00,48.1,75.3,113.7,4987.0,4685.5,4496.5,38.56,57.57,2.87599992752075,43.52999877929688,6.908095238095238,3.241150136729893
2015-01-01 17:00:00+00:00,58.02,1.7,166.5,5453.0,5295.0,5126.8,58.97,57.06,2.87599992752075,43.52999877929688,6.90672619047619,3.2410777711924643
2015-01-01 18:00:00+00:00,61.01,0.0,222.8,5819.0,6025.2,5802.4,59.64,62.35,2.87599992752075,43.52999877929688,6.9053571428571425,3.2410054056550357
2015-01-01 19:00:00+00:00,62.69,0.0,273.5,5929.0,6235.6,5962.1,64.8,60.64,2.87599992752075,43.52999877929688,6.903988095238095,3.240933040117607
2015-01-01 20:00:00+00:00,60.41,0.0,239.7,5937.0,6307.9,6068.2,65.14,55.73,2.87599992752075,43.52999877929688,6.902619047619047,3.240860674580179
2015-01-01 21:00:00+00:00,58.15,0.0,225.9,5826.0,6197.8,5971.900000000001,48.96,67.37,2.87599992752075,43.52999877929688,6.90125,3.2407883090427503
2015-01-01 22:00:00+00:00,53.6,0.0,188.2,5706.0,5997.7,5809.5,45.31,62.01,2.87599992752075,43.52999877929688,6.899880952380952,3.2407159435053217
2015-01-01 23:00:00+00:00,47.34,0.0,150.6,5838.0,5522.4,5371.799999999999,40.19,54.6,2.87599992752075,43.52999877929688,6.898511904761905,3.240643577967893
2015-01-02 00:00:00+00:00,40.4,0.0,144.6,5462.0,5014.1,4869.5,36.95,43.82,2.87599992752075,43.52999877929688,6.897142857142857,3.2405712124304644
2015-01-02 01:00:00+00:00,36.0,0.0,188.1,4998.0,4617.6,4429.5,32.31,39.65,2.87599992752075,43.52999877929688,6.895773809523809,3.240498846893036
