,price,solar,wind
2016-01-01 00:00:00+00:00,40.0,0.0,1869.0
2016-01-01 01:00:00+00:00,33.1,0.0,2131.0
2016-01-01 02:00:00+00:00,28.11,0.0,2227.0
2016-01-01 03:00:00+00:00,27.13,0.0,2172.0
2016-01-01 04:00:00+00:00,25.91,0.0,2533.0
2016-01-01 05:00:00+00:00,25.1,0.0,2668.0
2016-01-01 06:00:00+00:00,19.25,0.0,2904.0
2016-01-01 07:00:00+00:00,17.73,0.0,3203.0
2016-01-01 08:00:00+00:00,19.77,12.0,3241.0
2016-01-01 09:00:00+00:00,23.75,42.0,3494.0
2016-01-01 10:00:00+00:00,26.03,73.0,3712.0
2016-01-01 11:00:00+00:00,27.06,87.0,3916.0
2016-01-01 12:00:00+00:00,26.59,59.0,4058.0
2016-01-01 13:00:00+00:00,25.0,73.0,4076.0
2016-01-01 14:00:00+00:00,20.06,59.0,4009.0
2016-01-01 15:00:00+00:00,19.43,29.0,3868.0
2016-01-01 16:00:00+00:00,24.57,10.0,3786.0
2016-01-01 17:00:00+00:00,33.11,0.0,3685.0
2016-01-01 18:00:00+00:00,35.34,0.0,3191.0
2016-01-01 19:00:00+00:00,33.07,0.0,2901.0
2016-01-01 20:00:00+00:00,29.52,0.0,2954.0
2016-01-01 21:00:00+00:00,30.1,0.0,2892.0
2016-01-01 22:00:00+00:00,24.57,0.0,2680.0
2016-01-01 23:00:00+00:00,22.2,0.0,2430.0
2016-01-02 00:00:00+00:00,16.57,0.0,2217.0
2016-01-02 01:00:00+00:00,15.35,0.0,2338.0
2016-01-02 02:00:00+00:00,12.77,0.0,2560.0
2016-01-02 03:00:00+00:00,11.27,0.0,2566.0
2016-01-02 04:00:00+00:00,11.91,0.0,2461.0
2016-01-02 05:00:00+00:00,12.62,0.0,2355.0
2016-01-02 06:00:00+00:00,14.17,0.0,1992.0
2016-01-02 07:00:00+00:00,26.77,0.0,1366.0
2016-01-02 08:00:00+00:00,26.81,25.0,1171.0
2016-01-02 09:00:00+00:00,35.4,106.0,800.0
2016-01-02 10:00:00+00:00,36.1,141.0,518.0
2016-01-02 11:00:00+00:00,30.34,191.0,374.0
2016-01-02 12:00:00+00:00,31.26,166.0,342.0
2016-01-02 13:00:00+00:00,36.2,129.0,428.0
2016-01-02 14:00:00+00:00,36.2,78.0,526.0
2016-01-02 15:00:00+00:00,36.2,32.0,533.0
2016-01-02 16:00:00+00:00,39.99,11.0,588.0
2016-01-02 17:00:00+00:00,45.5,0.0,766.0
2016-01-02 18:00:00+00:00,55.1,0.0,839.0
2016-01-02 19:00:00+00:00,59.0,0.0,983.0
2016-01-02 20:00:00+00:00,59.56,0.0,1133.0
2016-01-02 21:00:00+00:00,51.1,0.0,1403.0
2016-01-02 22:00:00+00:00,40.66,0.0,1797.0
2016-01-02 23:00:00+00:00,30.25,0.0,2122.0
2016-01-03 00:00:00+00:00,20.1,0.0,2386.0
2016-01-03 01:00:00+00:00,21.1,0.0,2593.0
2016-01-03 02:00:00+00:00,22.0,0.0,2675.0
2016-01-03 03:00:00+00:00,22.0,0.0,2726.0
2016-01-03 04:00:00+00:00,18.2,0.0,2888.0
2016-01-03 05:00:00+00:00,18.2,0.0,3008.0
2016-01-03 06:00:00+00:00,21.1,0.0,3095.0
2016-01-03 07:00:00+00:00,21.1,0.0,3249.0
2016-01-03 08:00:00+00:00,21.8,13.0,3277.0
2016-01-03 09:00:00+00:00,21.1,53.0,3267.0
2016-01-03 10:00:00+00:00,22.11,73.0,3336.0
2016-01-03 11:00:00+00:00,22.68,60.0,3394.0
2016-01-03 12:00:00+00:00,22.0,43.0,3505.0
2016-01-03 13:00:00+00:00,19.89,32.0,3731.0
2016-01-03 14:00:00+00:00,20.1,34.0,3888.0
2016-01-03 15:00:00+00:00,20.1,23.0,3914.0
2016-01-03 16:00:00+00:00,21.8,6.0,3979.0
2016-01-03 17:00:00+00:00,26.76,0.0,3957.0
2016-01-03 18:00:00+00:00,27.23,0.0,3997.0
2016-01-03 19:00:00+00:00,25.33,0.0,3944.0
2016-01-03 20:00:00+00:00,23.65,0.0,3981.0
2016-01-03 21:00:00+00:00,22.57,0.0,3975.0
