,price,wind,solar,wind-is_weekend,wind-is_winter,wind-is_summer,wind-is_spring,wind-is_autumn,wind-is_day,solar-is_weekend,solar-is_winter,solar-is_summer,solar-is_spring,solar-is_autumn,solar-is_day
2018-01-01 00:00:00+00:00,33.0,1603.0,0.0,0.0,1603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 01:00:00+00:00,32.9,1559.0,0.0,0.0,1559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 02:00:00+00:00,28.1,1543.0,0.0,0.0,1543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 03:00:00+00:00,27.6,1797.0,0.0,0.0,1797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 04:00:00+00:00,24.6,2014.0,0.0,0.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 05:00:00+00:00,20.1,2454.0,0.0,0.0,2454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 06:00:00+00:00,19.9,2869.0,0.0,0.0,2869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 07:00:00+00:00,19.84,3116.0,0.0,0.0,3116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 08:00:00+00:00,19.9,3058.0,41.0,0.0,3058.0,0.0,0.0,0.0,3058.0,0.0,41.0,0.0,0.0,0.0,41.0
2018-01-01 09:00:00+00:00,19.9,3120.0,147.0,0.0,3120.0,0.0,0.0,0.0,3120.0,0.0,147.0,0.0,0.0,0.0,147.0
2018-01-01 10:00:00+00:00,19.9,3305.0,229.0,0.0,3305.0,0.0,0.0,0.0,3305.0,0.0,229.0,0.0,0.0,0.0,229.0
2018-01-01 11:00:00+00:00,23.6,3336.0,259.0,0.0,3336.0,0.0,0.0,0.0,3336.0,0.0,259.0,0.0,0.0,0.0,259.0
2018-01-01 12:00:00+00:00,25.1,3362.0,256.0,0.0,3362.0,0.0,0.0,0.0,3362.0,0.0,256.0,0.0,0.0,0.0,256.0
2018-01-01 13:00:00+00:00,23.6,3323.0,223.0,0.0,3323.0,0.0,0.0,0.0,3323.0,0.0,223.0,0.0,0.0,0.0,223.0
2018-01-01 14:00:00+00:00,24.6,3264.0,202.0,0.0,3264.0,0.0,0.0,0.0,3264.0,0.0,202.0,0.0,0.0,0.0,202.0
2018-01-01 15:00:00+00:00,25.1,3015.0,138.0,0.0,3015.0,0.0,0.0,0.0,3015.0,0.0,138.0,0.0,0.0,0.0,138.0
2018-01-01 16:00:00+00:00,27.6,2839.0,55.0,0.0,2839.0,0.0,0.0,0.0,2839.0,0.0,55.0,0.0,0.0,0.0,55.0
2018-01-01 17:00:00+00:00,27.6,2678.0,1.0,0.0,2678.0,0.0,0.0,0.0,2678.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-01-01 18:00:00+00:00,28.1,2696.0,0.0,0.0,2696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 19:00:00+00:00,32.9,2617.0,0.0,0.0,2617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 20:00:00+00:00,28.1,2589.0,0.0,0.0,2589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 21:00:00+00:00,28.1,2613.0,0.0,0.0,2613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 22:00:00+00:00,27.6,2730.0,0.0,0.0,2730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 23:00:00+00:00,19.9,2778.0,0.0,0.0,2778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 00:00:00+00:00,27.6,2856.0,0.0,0.0,2856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 01:00:00+00:00,19.9,2825.0,0.0,0.0,2825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 02:00:00+00:00,19.84,2718.0,0.0,0.0,2718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 03:00:00+00:00,19.1,2554.0,0.0,0.0,2554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 04:00:00+00:00,19.9,2395.0,0.0,0.0,2395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 05:00:00+00:00,22.58,2260.0,0.0,0.0,2260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 06:00:00+00:00,41.92,2414.0,0.0,0.0,2414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 07:00:00+00:00,47.95,2588.0,0.0,0.0,2588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 08:00:00+00:00,49.9,2724.0,42.0,0.0,2724.0,0.0,0.0,0.0,2724.0,0.0,42.0,0.0,0.0,0.0,42.0
2018-01-02 09:00:00+00:00,50.5,2945.0,145.0,0.0,2945.0,0.0,0.0,0.0,2945.0,0.0,145.0,0.0,0.0,0.0,145.0
2018-01-02 10:00:00+00:00,49.7,2883.0,208.0,0.0,2883.0,0.0,0.0,0.0,2883.0,0.0,208.0,0.0,0.0,0.0,208.0
2018-01-02 11:00:00+00:00,48.16,2785.0,245.0,0.0,2785.0,0.0,0.0,0.0,2785.0,0.0,245.0,0.0,0.0,0.0,245.0
2018-01-02 12:00:00+00:00,48.02,2801.0,239.0,0.0,2801.0,0.0,0.0,0.0,2801.0,0.0,239.0,0.0,0.0,0.0,239.0
2018-01-02 13:00:00+00:00,47.64,2688.0,191.0,0.0,2688.0,0.0,0.0,0.0,2688.0,0.0,191.0,0.0,0.0,0.0,191.0
2018-01-02 14:00:00+00:00,46.38,2479.0,155.0,0.0,2479.0,0.0,0.0,0.0,2479.0,0.0,155.0,0.0,0.0,0.0,155.0
2018-01-02 15:00:00+00:00,46.4,2319.0,104.0,0.0,2319.0,0.0,0.0,0.0,2319.0,0.0,104.0,0.0,0.0,0.0,104.0
2018-01-02 16:00:00+00:00,49.71,2225.0,29.0,0.0,2225.0,0.0,0.0,0.0,2225.0,0.0,29.0,0.0,0.0,0.0,29.0
2018-01-02 17:00:00+00:00,52.25,2183.0,1.0,0.0,2183.0,0.0,0.0,0.0,2183.0,0.0,1.0,0.0,0.0,0.0,1.0
2018-01-02 18:00:00+00:00,53.47,2190.0,0.0,0.0,2190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 19:00:00+00:00,55.54,2290.0,0.0,0.0,2290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 20:00:00+00:00,55.02,2349.0,0.0,0.0,2349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 21:00:00+00:00,50.5,2356.0,0.0,0.0,2356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 22:00:00+00:00,39.63,2351.0,0.0,0.0,2351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 23:00:00+00:00,28.1,2399.0,0.0,0.0,2399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 00:00:00+00:00,40.69,2572.0,0.0,0.0,2572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 01:00:00+00:00,30.69,2615.0,0.0,0.0,2615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 02:00:00+00:00,30.69,2576.0,0.0,0.0,2576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 03:00:00+00:00,30.69,2342.0,0.0,0.0,2342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 04:00:00+00:00,30.69,2020.0,0.0,0.0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 05:00:00+00:00,39.11,1776.0,0.0,0.0,1776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 06:00:00+00:00,41.69,1535.0,0.0,0.0,1535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 07:00:00+00:00,51.76,1405.0,0.0,0.0,1405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03 08:00:00+00:00,53.9,1496.0,13.0,0.0,1496.0,0.0,0.0,0.0,1496.0,0.0,13.0,0.0,0.0,0.0,13.0
2018-01-03 09:00:00+00:00,54.45,1588.0,64.0,0.0,1588.0,0.0,0.0,0.0,1588.0,0.0,64.0,0.0,0.0,0.0,64.0
2018-01-03 10:00:00+00:00,53.42,1694.0,91.0,0.0,1694.0,0.0,0.0,0.0,1694.0,0.0,91.0,0.0,0.0,0.0,91.0
2018-01-03 11:00:00+00:00,52.26,1700.0,108.0,0.0,1700.0,0.0,0.0,0.0,1700.0,0.0,108.0,0.0,0.0,0.0,108.0
2018-01-03 12:00:00+00:00,52.0,1756.0,108.0,0.0,1756.0,0.0,0.0,0.0,1756.0,0.0,108.0,0.0,0.0,0.0,108.0
2018-01-03 13:00:00+00:00,50.76,1825.0,90.0,0.0,1825.0,0.0,0.0,0.0,1825.0,0.0,90.0,0.0,0.0,0.0,90.0
2018-01-03 14:00:00+00:00,49.96,1745.0,76.0,0.0,1745.0,0.0,0.0,0.0,1745.0,0.0,76.0,0.0,0.0,0.0,76.0
2018-01-03 15:00:00+00:00,49.48,1706.0,51.0,0.0,1706.0,0.0,0.0,0.0,1706.0,0.0,51.0,0.0,0.0,0.0,51.0
