datetime;date;indeks;price;volume;rfnbo_cutoff;day_of_month;month;year
03-01-2012;03.01.2012;t2pa;6.31;300000;2.27;03;01;2012
10-01-2012;10.01.2012;t2pa;6.83;300000;2.46;10;01;2012
17-01-2012;17.01.2012;t2pa;6.68;300000;2.40;17;01;2012
24-01-2012;24.01.2012;t2pa;6.9;300000;2.48;24;01;2012
26-01-2012;26.01.2012;t2pa;7.46;850000;2.69;26;01;2012
31-01-2012;31.01.2012;t2pa;7.66;300000;2.76;31;01;2012
07-02-2012;07.02.2012;t2pa;8.42;300000;3.03;07;02;2012
14-02-2012;14.02.2012;t2pa;7.6;300000;2.74;14;02;2012
21-02-2012;21.02.2012;t2pa;8.58;300000;3.09;21;02;2012
23-02-2012;23.02.2012;t2pa;8.81;1000000;3.17;23;02;2012
28-02-2012;28.02.2012;t2pa;9.17;300000;3.30;28;02;2012
06-03-2012;06.03.2012;t2pa;8.44;300000;3.04;06;03;2012
13-03-2012;13.03.2012;t2pa;7.65;300000;2.75;13;03;2012
15-03-2012;15.03.2012;t2pa;7.8;850000;2.81;15;03;2012
20-03-2012;20.03.2012;t2pa;7.25;300000;2.61;20;03;2012
22-03-2012;22.03.2012;t2pa;6.95;1000000;2.50;22;03;2012
27-03-2012;27.03.2012;t2pa;6.9;300000;2.48;27;03;2012
03-04-2012;03.04.2012;t2pa;6;300000;2.16;03;04;2012
10-04-2012;10.04.2012;t2pa;6.54;300000;2.35;10;04;2012
17-04-2012;17.04.2012;t2pa;6.97;300000;2.51;17;04;2012
19-04-2012;19.04.2012;t2pa;7.02;1000000;2.53;19;04;2012
24-04-2012;24.04.2012;t2pa;7.06;300000;2.54;24;04;2012
08-05-2012;08.05.2012;t2pa;6.5;300000;2.34;08;05;2012
15-05-2012;15.05.2012;t2pa;6.49;300000;2.34;15;05;2012
22-05-2012;22.05.2012;t2pa;6.65;300000;2.39;22;05;2012
29-05-2012;29.05.2012;t2pa;6.55;300000;2.36;29;05;2012
05-06-2012;05.06.2012;t2pa;6.27;300000;2.26;05;06;2012
12-06-2012;12.06.2012;t2pa;6.54;300000;2.35;12;06;2012
14-06-2012;14.06.2012;t2pa;6.59;1000000;2.37;14;06;2012
19-06-2012;19.06.2012;t2pa;7.39;300000;2.66;19;06;2012
26-06-2012;26.06.2012;t2pa;8;300000;2.88;26;06;2012
03-07-2012;03.07.2012;t2pa;8.11;300000;2.92;03;07;2012
10-07-2012;10.07.2012;t2pa;7.87;300000;2.83;10;07;2012
17-07-2012;17.07.2012;t2pa;7.68;300000;2.76;17;07;2012
24-07-2012;24.07.2012;t2pa;7.13;300000;2.57;24;07;2012
31-07-2012;31.07.2012;t2pa;6.64;300000;2.39;31;07;2012
07-08-2012;07.08.2012;t2pa;7.21;300000;2.60;07;08;2012
14-08-2012;14.08.2012;t2pa;7.51;300000;2.70;14;08;2012
21-08-2012;21.08.2012;t2pa;7.6;300000;2.74;21;08;2012
28-08-2012;28.08.2012;t2pa;8.25;300000;2.97;28;08;2012
04-09-2012;04.09.2012;t2pa;8.24;300000;2.97;04;09;2012
11-09-2012;11.09.2012;t2pa;7.72;300000;2.78;11;09;2012
18-09-2012;18.09.2012;t2pa;7.25;300000;2.61;18;09;2012
