Year,Month,Wind,Solar
2015,1,4553,397
2015,2,4553,401
2015,3,4553,403
2015,4,4553,414
2015,5,4553,415
2015,6,4577,415
2015,7,4579,416
2015,8,4582,416
2015,9,4661,420
2015,10,4699,422
2015,11,4838,428
2015,12,4845,429
2016,1,4854,429
2016,2,4860,434
2016,3,4907,436
2016,4,4939,438
2016,5,4968,439
2016,6,4995,444
2016,7,5035,447
2016,8,5055,448
2016,9,5069,448
2016,10,5069,455
2016,11,5072,458
2016,12,5078,460
2017,1,5080,462
2017,2,5080,464
2017,3,5083,465
2017,4,5098,469
2017,5,5099,476
2017,6,5099,478
2017,7,5099,480
2017,8,5099,483
2017,9,5099,484
2017,10,5099,491
2017,11,5099,494
2017,12,5099,497
2018,1,5098,498
2018,2,5098,500
2018,3,5098,508
2018,4,5098,509
2018,5,5098,513
2018,6,5098,555
2018,7,5098,558
2018,8,5106,560
2018,9,5109,563
2018,10,5116,565
2018,11,5134,569
2018,12,5144,577
2019,1,5144,592
2019,2,5162,595
2019,3,5189,598
2019,4,5195,622
2019,5,5195,628
2019,6,5196,654
2019,7,5196,663
2019,8,5200,690
2019,9,5200,692
2019,10,5200,697
2019,11,5200,699
2019,12,5208,746
2020,1,5208,758
2020,2,5208,761
2020,3,5208,765
2020,4,5216,767
2020,5,5216,781
2020,6,5216,782
2020,7,5216,825
2020,8,5225,837
2020,9,5225,840
2020,10,5245,877
2020,11,5245,877
2020,12,5245,883
2021,1,5245,921
2021,2,5245,927
2021,3,5245,929
2021,4,5245,936
2021,5,5245,955
2021,6,5245,1051
2021,7,5245,1123
2021,8,5245,1128
2021,9,5244,1130
2021,10,5244,1134
2021,11,5275,1180
2021,12,5374,1397
2022,1,5361,1441
2022,2,5361,1493
2022,3,5359,1498
2022,4,5359,1524
2022,5,5359,1528
2022,6,5359,1545
2022,7,5359,1573
2022,8,5361,1632
2022,9,5361,1700
2022,10,5361,1757
2022,11,5361,1790
2022,12,5374,1909
2023,1,5374,1948
2023,2,5374,1976
2023,3,5374,2008
2023,4,5374,2019
2023,5,5374,2076
2023,6,5374,2166
2023,7,5374,2218
2023,8,5374,2234
2023,9,5374,2351
2023,10,5374,2384
2023,11,5374,2502
2023,12,5374,2620
2024,1,5374,2747
2024,2,5380,2766
2024,3,5380,2925
2024,4,5380,2981
2024,5,5380,3086
2024,6,5380,3145
2024,7,5390,3343
2024,8,5405,3411
2024,9,5405,3479
2024,10,5405,3536
2024,11,5407,3565
2024,12,5408,3885
2025,1,5408,3927
2025,2,5408,4001
2025,3,5408,4088
2025,4,5408,4123
2025,5,5408,4262
2025,6,5408,4310
2025,7,5408,4396
2025,8,5444,4434
2025,9,5444,4492
2025,10,5444,4553
2025,11,5444,4553
2025,12,5444,4553
2026,1,5444,4553
2026,2,5444,4553
2026,3,5444,4553
2026,4,5444,4553
2026,5,5444,4553
2026,6,5444,4553
2026,7,5444,4553
2026,8,5444,4553
2026,9,5444,4553
2026,10,5444,4553
2026,11,5444,4553
2026,12,5444,4553
2027,1,5444,4553
2027,2,5444,4553
