ds,yhat,target,forecast_origin,horizon
2017-01-01 00:00:00,259.9921272625866,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 01:00:00,249.8239037307873,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 02:00:00,152.21814946924064,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 03:00:00,362.0068433284509,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 04:00:00,395.54463449321497,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 05:00:00,43.774227169773646,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 06:00:00,193.22466443250278,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 07:00:00,276.0319121767579,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 08:00:00,58.43457697350478,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 09:00:00,112.85152467010127,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 10:00:00,88.45451513511566,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 11:00:00,102.25665047183593,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 12:00:00,57.66113428104993,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 13:00:00,95.12608148532672,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 14:00:00,16.35998503232471,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 15:00:00,100.42354485000259,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 16:00:00,245.84809478100084,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 17:00:00,400.45350049571306,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 18:00:00,461.37288368529477,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 19:00:00,540.534543774126,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 20:00:00,616.2405847429239,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 21:00:00,820.3446990373559,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 22:00:00,963.1201486548716,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 23:00:00,1008.5190663165612,wind,2016-12-31 23:00:00,day_ahead
2017-01-02 00:00:00,898.4954693561712,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 01:00:00,937.1269369883247,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 02:00:00,625.963500086234,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 03:00:00,472.8473217047764,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 04:00:00,439.7967848697568,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 05:00:00,422.96078833033425,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 06:00:00,427.27608176688994,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 07:00:00,380.5087236903721,wind,2017-01-01 23:00:00,day_ahead
