ds,yhat,target,forecast_origin,horizon
2017-01-01 00:00:00,78.3122826107752,price,2016-12-31 23:00:00,day_ahead
2017-01-01 01:00:00,76.6900395572393,price,2016-12-31 23:00:00,day_ahead
2017-01-01 02:00:00,78.16213371485537,price,2016-12-31 23:00:00,day_ahead
2017-01-01 03:00:00,77.90430797285636,price,2016-12-31 23:00:00,day_ahead
2017-01-01 04:00:00,79.09606814614327,price,2016-12-31 23:00:00,day_ahead
2017-01-01 05:00:00,79.31574425154174,price,2016-12-31 23:00:00,day_ahead
2017-01-01 06:00:00,81.29183322283987,price,2016-12-31 23:00:00,day_ahead
2017-01-01 07:00:00,83.70853296489577,price,2016-12-31 23:00:00,day_ahead
2017-01-01 08:00:00,85.05,price,2016-12-31 23:00:00,day_ahead
2017-01-01 09:00:00,85.05,price,2016-12-31 23:00:00,day_ahead
2017-01-01 10:00:00,85.05,price,2016-12-31 23:00:00,day_ahead
2017-01-01 11:00:00,85.05,price,2016-12-31 23:00:00,day_ahead
2017-01-01 12:00:00,84.11375996070235,price,2016-12-31 23:00:00,day_ahead
2017-01-01 13:00:00,83.16211565607864,price,2016-12-31 23:00:00,day_ahead
2017-01-01 14:00:00,81.0675827464384,price,2016-12-31 23:00:00,day_ahead
2017-01-01 15:00:00,80.92482929594071,price,2016-12-31 23:00:00,day_ahead
2017-01-01 16:00:00,84.48358247877212,price,2016-12-31 23:00:00,day_ahead
2017-01-01 17:00:00,85.05,price,2016-12-31 23:00:00,day_ahead
2017-01-01 18:00:00,85.05,price,2016-12-31 23:00:00,day_ahead
2017-01-01 19:00:00,85.05,price,2016-12-31 23:00:00,day_ahead
2017-01-01 20:00:00,85.05,price,2016-12-31 23:00:00,day_ahead
2017-01-01 21:00:00,85.05,price,2016-12-31 23:00:00,day_ahead
2017-01-01 22:00:00,85.05,price,2016-12-31 23:00:00,day_ahead
2017-01-01 23:00:00,84.20420792554891,price,2016-12-31 23:00:00,day_ahead
2017-01-02 00:00:00,65.1008250075437,price,2017-01-01 23:00:00,day_ahead
2017-01-02 01:00:00,63.65469948094899,price,2017-01-01 23:00:00,day_ahead
2017-01-02 02:00:00,63.39184322825973,price,2017-01-01 23:00:00,day_ahead
2017-01-02 03:00:00,65.99667214087822,price,2017-01-01 23:00:00,day_ahead
2017-01-02 04:00:00,71.29099788597019,price,2017-01-01 23:00:00,day_ahead
2017-01-02 05:00:00,76.3950260857595,price,2017-01-01 23:00:00,day_ahead
2017-01-02 06:00:00,81.27296184093949,price,2017-01-01 23:00:00,day_ahead
2017-01-02 07:00:00,83.91081378513147,price,2017-01-01 23:00:00,day_ahead
2017-01-02 08:00:00,85.05,price,2017-01-01 23:00:00,day_ahead
2017-01-02 09:00:00,85.05,price,2017-01-01 23:00:00,day_ahead
2017-01-02 10:00:00,85.05,price,2017-01-01 23:00:00,day_ahead
2017-01-02 11:00:00,85.05,price,2017-01-01 23:00:00,day_ahead
2017-01-02 12:00:00,83.05490993361323,price,2017-01-01 23:00:00,day_ahead
2017-01-02 13:00:00,82.6860344923931,price,2017-01-01 23:00:00,day_ahead
2017-01-02 14:00:00,82.12493135060728,price,2017-01-01 23:00:00,day_ahead
2017-01-02 15:00:00,82.58378802622005,price,2017-01-01 23:00:00,day_ahead
