ds,yhat,target,forecast_origin,horizon
2017-01-01 00:00:00,629.7423829697791,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 01:00:00,620.8926667657274,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 02:00:00,210.17810587074828,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 03:00:00,158.97277455372304,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 04:00:00,49.52650835454267,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 05:00:00,84.07479180672833,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 06:00:00,81.31069468854034,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 07:00:00,68.62908411805296,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 08:00:00,100.68086880933019,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 09:00:00,9.352858618918065,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 10:00:00,7.676189795369604,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 11:00:00,104.78457961079687,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 12:00:00,249.66758310702514,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 13:00:00,30.396020604252485,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 14:00:00,76.51416156797058,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 15:00:00,170.66700651107905,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 16:00:00,30.613332114428413,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 17:00:00,148.99812514494772,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 18:00:00,244.5705283846385,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 19:00:00,341.2004138130684,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 20:00:00,428.45888515793166,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 21:00:00,520.4102006515143,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 22:00:00,357.75457730185906,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 23:00:00,381.70790698209305,wind,2016-12-31 23:00:00,day_ahead
2017-01-02 00:00:00,1261.256716677946,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 01:00:00,1211.1190103044762,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 02:00:00,1159.4176008629759,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 03:00:00,825.3207381631936,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 04:00:00,544.8343852563073,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 05:00:00,524.5619712594528,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 06:00:00,529.7580649304703,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 07:00:00,473.44495971888944,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 08:00:00,326.59343491242174,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 09:00:00,140.8342617980193,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 10:00:00,17.278694352268168,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 11:00:00,38.23470985886011,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 12:00:00,216.30085276199372,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 13:00:00,25.002481813415955,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 14:00:00,100.95488318608206,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 15:00:00,226.5998765239879,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 16:00:00,399.1900375930212,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 17:00:00,583.7186034655963,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 18:00:00,790.8798211708082,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 19:00:00,991.6552305057536,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 20:00:00,1195.647460784994,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 21:00:00,1341.5254330233922,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 22:00:00,1462.8857775853692,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 23:00:00,1596.3095915098802,wind,2017-01-01 23:00:00,day_ahead
2017-01-03 00:00:00,3783.8751945987187,wind,2017-01-02 23:00:00,day_ahead
2017-01-03 01:00:00,4029.710158023915,wind,2017-01-02 23:00:00,day_ahead
2017-01-03 02:00:00,4064.431026481604,wind,2017-01-02 23:00:00,day_ahead
2017-01-03 03:00:00,3807.1119302619513,wind,2017-01-02 23:00:00,day_ahead
2017-01-03 04:00:00,3848.030623489451,wind,2017-01-02 23:00:00,day_ahead
2017-01-03 05:00:00,3845.5562656745165,wind,2017-01-02 23:00:00,day_ahead
2017-01-03 06:00:00,3698.898261830666,wind,2017-01-02 23:00:00,day_ahead
2017-01-03 07:00:00,2990.829396774739,wind,2017-01-02 23:00:00,day_ahead
2017-01-03 08:00:00,2745.858337485111,wind,2017-01-02 23:00:00,day_ahead
2017-01-03 09:00:00,2485.3489633377253,wind,2017-01-02 23:00:00,day_ahead
2017-01-03 10:00:00,1946.56923186495,wind,2017-01-02 23:00:00,day_ahead
2017-01-03 11:00:00,1884.4694224882412,wind,2017-01-02 23:00:00,day_ahead
2017-01-03 12:00:00,1741.5746170757423,wind,2017-01-02 23:00:00,day_ahead
