ds,yhat,target,forecast_origin,horizon
2017-01-01 00:00:00,30.110510635824344,price,2016-12-31 23:00:00,day_ahead
2017-01-01 01:00:00,26.58470106236564,price,2016-12-31 23:00:00,day_ahead
2017-01-01 02:00:00,24.49049363442411,price,2016-12-31 23:00:00,day_ahead
2017-01-01 03:00:00,24.782022046813896,price,2016-12-31 23:00:00,day_ahead
2017-01-01 04:00:00,27.94214621355096,price,2016-12-31 23:00:00,day_ahead
2017-01-01 05:00:00,33.218477537325086,price,2016-12-31 23:00:00,day_ahead
2017-01-01 06:00:00,38.8294580970677,price,2016-12-31 23:00:00,day_ahead
2017-01-01 07:00:00,43.04901477376089,price,2016-12-31 23:00:00,day_ahead
2017-01-01 08:00:00,45.21201958958846,price,2016-12-31 23:00:00,day_ahead
2017-01-01 09:00:00,45.76908819113621,price,2016-12-31 23:00:00,day_ahead
2017-01-01 10:00:00,45.46685568606921,price,2016-12-31 23:00:00,day_ahead
2017-01-01 11:00:00,44.57438572108568,price,2016-12-31 23:00:00,day_ahead
2017-01-01 12:00:00,42.9595894830501,price,2016-12-31 23:00:00,day_ahead
2017-01-01 13:00:00,40.86418978735816,price,2016-12-31 23:00:00,day_ahead
2017-01-01 14:00:00,39.41894020382782,price,2016-12-31 23:00:00,day_ahead
2017-01-01 15:00:00,40.136305769980034,price,2016-12-31 23:00:00,day_ahead
2017-01-01 16:00:00,43.65911217852477,price,2016-12-31 23:00:00,day_ahead
2017-01-01 17:00:00,48.89702993420287,price,2016-12-31 23:00:00,day_ahead
2017-01-01 18:00:00,53.46133738715969,price,2016-12-31 23:00:00,day_ahead
2017-01-01 19:00:00,55.170371997487464,price,2016-12-31 23:00:00,day_ahead
2017-01-01 20:00:00,53.41619110333879,price,2016-12-31 23:00:00,day_ahead
2017-01-01 21:00:00,49.302196632788835,price,2016-12-31 23:00:00,day_ahead
2017-01-01 22:00:00,44.57135516908085,price,2016-12-31 23:00:00,day_ahead
2017-01-01 23:00:00,40.38502678710046,price,2016-12-31 23:00:00,day_ahead
2017-01-02 00:00:00,37.45684297107157,price,2017-01-01 23:00:00,day_ahead
2017-01-02 01:00:00,34.89547798635012,price,2017-01-01 23:00:00,day_ahead
2017-01-02 02:00:00,33.724907838239524,price,2017-01-01 23:00:00,day_ahead
2017-01-02 03:00:00,34.91009395279002,price,2017-01-01 23:00:00,day_ahead
2017-01-02 04:00:00,38.93553764934406,price,2017-01-01 23:00:00,day_ahead
2017-01-02 05:00:00,45.03003611871406,price,2017-01-01 23:00:00,day_ahead
2017-01-02 06:00:00,51.379797452468495,price,2017-01-01 23:00:00,day_ahead
2017-01-02 07:00:00,56.23240065080125,price,2017-01-01 23:00:00,day_ahead
2017-01-02 08:00:00,58.91570869731096,price,2017-01-01 23:00:00,day_ahead
2017-01-02 09:00:00,59.88838112904565,price,2017-01-01 23:00:00,day_ahead
2017-01-02 10:00:00,59.90430169646476,price,2017-01-01 23:00:00,day_ahead
2017-01-02 11:00:00,59.22913194834817,price,2017-01-01 23:00:00,day_ahead
2017-01-02 12:00:00,57.723441886730036,price,2017-01-01 23:00:00,day_ahead
2017-01-02 13:00:00,55.633303835459174,price,2017-01-01 23:00:00,day_ahead
2017-01-02 14:00:00,54.111776532055735,price,2017-01-01 23:00:00,day_ahead
2017-01-02 15:00:00,54.69861431040319,price,2017-01-01 23:00:00,day_ahead
2017-01-02 16:00:00,58.04648026161535,price,2017-01-01 23:00:00,day_ahead
2017-01-02 17:00:00,63.04654348458615,price,2017-01-01 23:00:00,day_ahead
2017-01-02 18:00:00,67.27585996789662,price,2017-01-01 23:00:00,day_ahead
2017-01-02 19:00:00,68.52955987371645,price,2017-01-01 23:00:00,day_ahead
2017-01-02 20:00:00,66.20575899770813,price,2017-01-01 23:00:00,day_ahead
2017-01-02 21:00:00,61.43810078863551,price,2017-01-01 23:00:00,day_ahead
2017-01-02 22:00:00,56.00204631225057,price,2017-01-01 23:00:00,day_ahead
2017-01-02 23:00:00,51.07588357309178,price,2017-01-01 23:00:00,day_ahead
2017-01-03 00:00:00,47.39484547358971,price,2017-01-02 23:00:00,day_ahead
2017-01-03 01:00:00,44.04525279927152,price,2017-01-02 23:00:00,day_ahead
2017-01-03 02:00:00,42.068918340247365,price,2017-01-02 23:00:00,day_ahead
2017-01-03 03:00:00,42.45136843067655,price,2017-01-02 23:00:00,day_ahead
2017-01-03 04:00:00,45.69338975587742,price,2017-01-02 23:00:00,day_ahead
2017-01-03 05:00:00,51.02581743130103,price,2017-01-02 23:00:00,day_ahead
2017-01-03 06:00:00,56.62422496636675,price,2017-01-02 23:00:00,day_ahead
2017-01-03 07:00:00,60.72482502448203,price,2017-01-02 23:00:00,day_ahead
2017-01-03 08:00:00,62.65472765837537,price,2017-01-02 23:00:00,day_ahead
2017-01-03 09:00:00,62.88338844516031,price,2017-01-02 23:00:00,day_ahead
2017-01-03 10:00:00,62.17835755450812,price,2017-01-02 23:00:00,day_ahead
2017-01-03 11:00:00,60.813530526546934,price,2017-01-02 23:00:00,day_ahead
2017-01-03 12:00:00,58.65291237487049,price,2017-01-02 23:00:00,day_ahead
2017-01-03 13:00:00,55.94903699856246,price,2017-01-02 23:00:00,day_ahead
2017-01-03 14:00:00,53.86939829740554,price,2017-01-02 23:00:00,day_ahead
2017-01-03 15:00:00,53.97066115934988,price,2017-01-02 23:00:00,day_ahead
2017-01-03 16:00:00,56.91242604332754,price,2017-01-02 23:00:00,day_ahead
2017-01-03 17:00:00,61.575275829363065,price,2017-01-02 23:00:00,day_ahead
2017-01-03 18:00:00,65.51408236798696,price,2017-01-02 23:00:00,day_ahead
2017-01-03 19:00:00,66.50588765014388,price,2017-01-02 23:00:00,day_ahead
2017-01-03 20:00:00,63.94710441055373,price,2017-01-02 23:00:00,day_ahead
2017-01-03 21:00:00,58.98454873461421,price,2017-01-02 23:00:00,day_ahead
2017-01-03 22:00:00,53.40862549475787,price,2017-01-02 23:00:00,day_ahead
2017-01-03 23:00:00,48.402201877419174,price,2017-01-02 23:00:00,day_ahead
2017-01-04 00:00:00,45.21815787435692,price,2017-01-03 23:00:00,day_ahead
2017-01-04 01:00:00,41.82846270174341,price,2017-01-03 23:00:00,day_ahead
2017-01-04 02:00:00,39.88486197577486,price,2017-01-03 23:00:00,day_ahead
2017-01-04 03:00:00,40.399437448749865,price,2017-01-03 23:00:00,day_ahead
2017-01-04 04:00:00,43.87952614544958,price,2017-01-03 23:00:00,day_ahead
2017-01-04 05:00:00,49.526963982447654,price,2017-01-03 23:00:00,day_ahead
2017-01-04 06:00:00,55.4650149856191,price,2017-01-03 23:00:00,day_ahead
2017-01-04 07:00:00,59.884986363537244,price,2017-01-03 23:00:00,day_ahead
2017-01-04 08:00:00,62.09903426656615,price,2017-01-03 23:00:00,day_ahead
2017-01-04 09:00:00,62.58775513296896,price,2017-01-03 23:00:00,day_ahead
2017-01-04 10:00:00,62.13301550011144,price,2017-01-03 23:00:00,day_ahead
2017-01-04 11:00:00,61.008830784213444,price,2017-01-03 23:00:00,day_ahead
2017-01-04 12:00:00,59.06999886095272,price,2017-01-03 23:00:00,day_ahead
2017-01-04 13:00:00,56.56978883153577,price,2017-01-03 23:00:00,day_ahead
2017-01-04 14:00:00,54.69630219799139,price,2017-01-03 23:00:00,day_ahead
2017-01-04 15:00:00,55.03271517740554,price,2017-01-03 23:00:00,day_ahead
2017-01-04 16:00:00,58.243821693326325,price,2017-01-03 23:00:00,day_ahead
2017-01-04 17:00:00,63.17989970413693,price,2017-01-03 23:00:00,day_ahead
2017-01-04 18:00:00,67.34484361550389,price,2017-01-03 23:00:00,day_ahead
