ds,yhat,target,forecast_origin,horizon
2017-01-01 00:00:00,1808.7830777610045,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 01:00:00,1804.6060290882974,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 02:00:00,1800.1109711821468,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 03:00:00,1797.5145001120104,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 04:00:00,1796.8470140913694,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 05:00:00,1790.5711355321282,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 06:00:00,1764.2863804695444,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 07:00:00,1706.1898969735093,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 08:00:00,1618.7984940149304,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 09:00:00,1522.3030298071335,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 10:00:00,1444.8196203608318,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 11:00:00,1406.012986289792,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 12:00:00,1406.7661922941404,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 13:00:00,1432.6843641041255,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 14:00:00,1467.4663409068603,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 15:00:00,1504.2420373082255,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 16:00:00,1545.9113596872478,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 17:00:00,1596.1582107943495,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 18:00:00,1650.9847693675736,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 19:00:00,1698.985046989601,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 20:00:00,1729.4556570482775,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 21:00:00,1740.0606004625326,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 22:00:00,1737.0234967564334,wind,2016-12-31 23:00:00,day_ahead
2017-01-01 23:00:00,1728.720898156333,wind,2016-12-31 23:00:00,day_ahead
2017-01-02 00:00:00,1686.0235979116562,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 01:00:00,1676.4753297750783,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 02:00:00,1667.8378841106496,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 03:00:00,1662.2473554618089,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 04:00:00,1659.3796251744857,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 05:00:00,1651.3932866836794,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 06:00:00,1623.8497025245301,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 07:00:00,1565.107608513943,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 08:00:00,1477.8025633986617,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 09:00:00,1382.0404553622338,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 10:00:00,1305.7187533734602,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 11:00:00,1268.3544248967792,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 12:00:00,1270.867210194968,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 13:00:00,1298.9913507045662,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 14:00:00,1336.4609617509395,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 15:00:00,1376.2783058193386,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 16:00:00,1421.1816998562028,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 17:00:00,1474.8442338455084,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 18:00:00,1533.4294244065127,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 19:00:00,1585.6649123754355,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 20:00:00,1620.7162353194435,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 21:00:00,1635.8328075482823,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 22:00:00,1636.805725932801,wind,2017-01-01 23:00:00,day_ahead
2017-01-02 23:00:00,1631.9000018618747,wind,2017-01-01 23:00:00,day_ahead
2017-01-03 00:00:00,1774.3104745986038,wind,2017-01-02 23:00:00,day_ahead
