ds,yhat,target,forecast_origin,horizon
2017-01-08 00:00:00,32.4892894650054,price,2017-01-07 23:00:00,year_ahead
2017-01-08 01:00:00,28.53435320221215,price,2017-01-07 23:00:00,year_ahead
2017-01-08 02:00:00,26.159935369228283,price,2017-01-07 23:00:00,year_ahead
2017-01-08 03:00:00,26.470492709075142,price,2017-01-07 23:00:00,year_ahead
2017-01-08 04:00:00,30.00110437259616,price,2017-01-07 23:00:00,year_ahead
2017-01-08 05:00:00,35.88098395730852,price,2017-01-07 23:00:00,year_ahead
2017-01-08 06:00:00,42.10416346307794,price,2017-01-07 23:00:00,year_ahead
2017-01-08 07:00:00,46.762627629049675,price,2017-01-07 23:00:00,year_ahead
2017-01-08 08:00:00,49.15212571960868,price,2017-01-07 23:00:00,year_ahead
2017-01-08 09:00:00,49.79764767951729,price,2017-01-07 23:00:00,year_ahead
2017-01-08 10:00:00,49.520971238818326,price,2017-01-07 23:00:00,year_ahead
2017-01-08 11:00:00,48.59382727761429,price,2017-01-07 23:00:00,year_ahead
2017-01-08 12:00:00,46.85314127230297,price,2017-01-07 23:00:00,year_ahead
2017-01-08 13:00:00,44.57535736324143,price,2017-01-07 23:00:00,year_ahead
2017-01-08 14:00:00,43.03030758436742,price,2017-01-07 23:00:00,year_ahead
2017-01-08 15:00:00,43.888722457720945,price,2017-01-07 23:00:00,year_ahead
2017-01-08 16:00:00,47.82826951399841,price,2017-01-07 23:00:00,year_ahead
2017-01-08 17:00:00,53.60621978675757,price,2017-01-07 23:00:00,year_ahead
2017-01-08 18:00:00,58.58151825695205,price,2017-01-07 23:00:00,year_ahead
2017-01-08 19:00:00,60.39189485342929,price,2017-01-07 23:00:00,year_ahead
2017-01-08 20:00:00,58.43034729987017,price,2017-01-07 23:00:00,year_ahead
2017-01-08 21:00:00,53.9428570953486,price,2017-01-07 23:00:00,year_ahead
2017-01-08 22:00:00,48.818598007000105,price,2017-01-07 23:00:00,year_ahead
2017-01-08 23:00:00,44.26948213408322,price,2017-01-07 23:00:00,year_ahead
2017-01-09 00:00:00,40.54318813029741,price,2017-01-07 23:00:00,year_ahead
2017-01-09 01:00:00,37.691842131568364,price,2017-01-07 23:00:00,year_ahead
2017-01-09 02:00:00,36.36839659463105,price,2017-01-07 23:00:00,year_ahead
2017-01-09 03:00:00,37.674198282306406,price,2017-01-07 23:00:00,year_ahead
2017-01-09 04:00:00,42.13943323278038,price,2017-01-07 23:00:00,year_ahead
2017-01-09 05:00:00,48.88319626622417,price,2017-01-07 23:00:00,year_ahead
2017-01-09 06:00:00,55.8853795593633,price,2017-01-07 23:00:00,year_ahead
2017-01-09 07:00:00,61.225044548459245,price,2017-01-07 23:00:00,year_ahead
2017-01-09 08:00:00,64.19092254918782,price,2017-01-07 23:00:00,year_ahead
2017-01-09 09:00:00,65.3070300290017,price,2017-01-07 23:00:00,year_ahead
2017-01-09 10:00:00,65.39632410785684,price,2017-01-07 23:00:00,year_ahead
2017-01-09 11:00:00,64.73032994786611,price,2017-01-07 23:00:00,year_ahead
2017-01-09 12:00:00,63.144875052886405,price,2017-01-07 23:00:00,year_ahead
2017-01-09 13:00:00,60.91808036540058,price,2017-01-07 23:00:00,year_ahead
2017-01-09 14:00:00,59.32653848564928,price,2017-01-07 23:00:00,year_ahead
2017-01-09 15:00:00,60.05031319172266,price,2017-01-07 23:00:00,year_ahead
2017-01-09 16:00:00,63.77309921082599,price,2017-01-07 23:00:00,year_ahead
2017-01-09 17:00:00,69.2509633751655,price,2017-01-07 23:00:00,year_ahead
2017-01-09 18:00:00,73.83656087026631,price,2017-01-07 23:00:00,year_ahead
2017-01-09 19:00:00,75.16322265630913,price,2017-01-07 23:00:00,year_ahead
2017-01-09 20:00:00,72.62755940722998,price,2017-01-07 23:00:00,year_ahead
2017-01-09 21:00:00,67.48750911566047,price,2017-01-07 23:00:00,year_ahead
2017-01-09 22:00:00,61.6473941612688,price,2017-01-07 23:00:00,year_ahead
2017-01-09 23:00:00,56.331853089354034,price,2017-01-07 23:00:00,year_ahead
2017-01-10 00:00:00,51.79758424025578,price,2017-01-07 23:00:00,year_ahead
2017-01-10 01:00:00,48.10516031412728,price,2017-01-07 23:00:00,year_ahead
2017-01-10 02:00:00,45.918651723622375,price,2017-01-07 23:00:00,year_ahead
2017-01-10 03:00:00,46.352463958190185,price,2017-01-07 23:00:00,year_ahead
2017-01-10 04:00:00,49.947424521686834,price,2017-01-07 23:00:00,year_ahead
2017-01-10 05:00:00,55.82725182136559,price,2017-01-07 23:00:00,year_ahead
2017-01-10 06:00:00,61.97150005157378,price,2017-01-07 23:00:00,year_ahead
2017-01-10 07:00:00,66.45903178736826,price,2017-01-07 23:00:00,year_ahead
2017-01-10 08:00:00,68.58308353599449,price,2017-01-07 23:00:00,year_ahead
2017-01-10 09:00:00,68.87691056590195,price,2017-01-07 23:00:00,year_ahead
2017-01-10 10:00:00,68.17345676766372,price,2017-01-07 23:00:00,year_ahead
2017-01-10 11:00:00,66.75136657425492,price,2017-01-07 23:00:00,year_ahead
2017-01-10 12:00:00,64.45115195607374,price,2017-01-07 23:00:00,year_ahead
2017-01-10 13:00:00,61.55680832071447,price,2017-01-07 23:00:00,year_ahead
2017-01-10 14:00:00,59.354277801051914,price,2017-01-07 23:00:00,year_ahead
2017-01-10 15:00:00,59.53393224074914,price,2017-01-07 23:00:00,year_ahead
2017-01-10 16:00:00,62.784867147442206,price,2017-01-07 23:00:00,year_ahead
2017-01-10 17:00:00,67.85974854630098,price,2017-01-07 23:00:00,year_ahead
2017-01-10 18:00:00,72.1012236641739,price,2017-01-07 23:00:00,year_ahead
2017-01-10 19:00:00,73.13305029270795,price,2017-01-07 23:00:00,year_ahead
2017-01-10 20:00:00,70.34890330672123,price,2017-01-07 23:00:00,year_ahead
2017-01-10 21:00:00,65.01085025179766,price,2017-01-07 23:00:00,year_ahead
2017-01-10 22:00:00,59.02936693802794,price,2017-01-07 23:00:00,year_ahead
2017-01-10 23:00:00,53.63177704365382,price,2017-01-07 23:00:00,year_ahead
2017-01-11 00:00:00,49.07284385000594,price,2017-01-07 23:00:00,year_ahead
2017-01-11 01:00:00,45.40986003824178,price,2017-01-07 23:00:00,year_ahead
2017-01-11 02:00:00,43.305664260046335,price,2017-01-07 23:00:00,year_ahead
2017-01-11 03:00:00,43.87490182857427,price,2017-01-07 23:00:00,year_ahead
2017-01-11 04:00:00,47.65591090019832,price,2017-01-07 23:00:00,year_ahead
2017-01-11 05:00:00,53.76374940699123,price,2017-01-07 23:00:00,year_ahead
2017-01-11 06:00:00,60.16435434634886,price,2017-01-07 23:00:00,year_ahead
2017-01-11 07:00:00,64.92327067443323,price,2017-01-07 23:00:00,year_ahead
2017-01-11 08:00:00,67.32543302617582,price,2017-01-07 23:00:00,year_ahead
2017-01-11 09:00:00,67.90098514822566,price,2017-01-07 23:00:00,year_ahead
2017-01-11 10:00:00,67.48110126017595,price,2017-01-07 23:00:00,year_ahead
2017-01-11 11:00:00,66.34051011840894,price,2017-01-07 23:00:00,year_ahead
2017-01-11 12:00:00,64.3142113126854,price,2017-01-07 23:00:00,year_ahead
2017-01-11 13:00:00,61.682820235448844,price,2017-01-07 23:00:00,year_ahead
2017-01-11 14:00:00,59.73340719273958,price,2017-01-07 23:00:00,year_ahead
2017-01-11 15:00:00,60.1595401120341,price,2017-01-07 23:00:00,year_ahead
2017-01-11 16:00:00,63.64977363396237,price,2017-01-07 23:00:00,year_ahead
2017-01-11 17:00:00,68.9486467194326,price,2017-01-07 23:00:00,year_ahead
2017-01-11 18:00:00,73.38531653748075,price,2017-01-07 23:00:00,year_ahead
2017-01-11 19:00:00,74.57174205353012,price,2017-01-07 23:00:00,year_ahead
2017-01-11 20:00:00,71.89768897032658,price,2017-01-07 23:00:00,year_ahead
2017-01-11 21:00:00,66.62961292730036,price,2017-01-07 23:00:00,year_ahead
2017-01-11 22:00:00,60.6855974863945,price,2017-01-07 23:00:00,year_ahead
2017-01-11 23:00:00,55.298250305648146,price,2017-01-07 23:00:00,year_ahead
2017-01-12 00:00:00,50.72407744115742,price,2017-01-07 23:00:00,year_ahead
2017-01-12 01:00:00,47.021769561602774,price,2017-01-07 23:00:00,year_ahead
2017-01-12 02:00:00,44.858520835698876,price,2017-01-07 23:00:00,year_ahead
2017-01-12 03:00:00,45.35561128124886,price,2017-01-07 23:00:00,year_ahead
2017-01-12 04:00:00,49.055981217373684,price,2017-01-07 23:00:00,year_ahead
2017-01-12 05:00:00,55.07369753848047,price,2017-01-07 23:00:00,year_ahead
2017-01-12 06:00:00,61.369202633459,price,2017-01-07 23:00:00,year_ahead
2017-01-12 07:00:00,66.00317047395741,price,2017-01-07 23:00:00,year_ahead
2017-01-12 08:00:00,68.26087283704645,price,2017-01-07 23:00:00,year_ahead
2017-01-12 09:00:00,68.6780409273618,price,2017-01-07 23:00:00,year_ahead
2017-01-12 10:00:00,68.09270687509283,price,2017-01-07 23:00:00,year_ahead
2017-01-12 11:00:00,66.78411141193793,price,2017-01-07 23:00:00,year_ahead
2017-01-12 12:00:00,64.58984550486483,price,2017-01-07 23:00:00,year_ahead
2017-01-12 13:00:00,61.7948066601618,price,2017-01-07 23:00:00,year_ahead
2017-01-12 14:00:00,59.69430392963496,price,2017-01-07 23:00:00,year_ahead
2017-01-12 15:00:00,59.991559679821975,price,2017-01-07 23:00:00,year_ahead
2017-01-12 16:00:00,63.38030376513846,price,2017-01-07 23:00:00,year_ahead
2017-01-12 17:00:00,68.60184362018552,price,2017-01-07 23:00:00,year_ahead
2017-01-12 18:00:00,72.97585589402675,price,2017-01-07 23:00:00,year_ahead
2017-01-12 19:00:00,74.10557247307926,price,2017-01-07 23:00:00,year_ahead
2017-01-12 20:00:00,71.37894637462426,price,2017-01-07 23:00:00,year_ahead
2017-01-12 21:00:00,66.06791988355303,price,2017-01-07 23:00:00,year_ahead
2017-01-12 22:00:00,60.09827731492613,price,2017-01-07 23:00:00,year_ahead
2017-01-12 23:00:00,54.70700526817118,price,2017-01-07 23:00:00,year_ahead
2017-01-13 00:00:00,50.15047198515383,price,2017-01-07 23:00:00,year_ahead
2017-01-13 01:00:00,46.48594711989425,price,2017-01-07 23:00:00,year_ahead
2017-01-13 02:00:00,44.381274166603,price,2017-01-07 23:00:00,year_ahead
2017-01-13 03:00:00,44.959839063360334,price,2017-01-07 23:00:00,year_ahead
2017-01-13 04:00:00,48.76390996289171,price,2017-01-07 23:00:00,year_ahead
2017-01-13 05:00:00,54.90063125938364,price,2017-01-07 23:00:00,year_ahead
2017-01-13 06:00:00,61.318460690913554,price,2017-01-07 23:00:00,year_ahead
2017-01-13 07:00:00,66.06625991926933,price,2017-01-07 23:00:00,year_ahead
2017-01-13 08:00:00,68.42235982045283,price,2017-01-07 23:00:00,year_ahead
2017-01-13 09:00:00,68.92058451835229,price,2017-01-07 23:00:00,year_ahead
2017-01-13 10:00:00,68.39823722691767,price,2017-01-07 23:00:00,year_ahead
2017-01-13 11:00:00,67.13151799240504,price,2017-01-07 23:00:00,year_ahead
2017-01-13 12:00:00,64.95321759725563,price,2017-01-07 23:00:00,year_ahead
2017-01-13 13:00:00,62.145410824836446,price,2017-01-07 23:00:00,year_ahead
2017-01-13 14:00:00,60.00494991052504,price,2017-01-07 23:00:00,year_ahead
2017-01-13 15:00:00,60.23854311123571,price,2017-01-07 23:00:00,year_ahead
2017-01-13 16:00:00,63.539565203430065,price,2017-01-07 23:00:00,year_ahead
2017-01-13 17:00:00,68.64130321954235,price,2017-01-07 23:00:00,year_ahead
2017-01-13 18:00:00,72.8499993958816,price,2017-01-07 23:00:00,year_ahead
2017-01-13 19:00:00,73.7571222407437,price,2017-01-07 23:00:00,year_ahead
2017-01-13 20:00:00,70.74676378961388,price,2017-01-07 23:00:00,year_ahead
2017-01-13 21:00:00,65.09534981251828,price,2017-01-07 23:00:00,year_ahead
2017-01-13 22:00:00,58.73645030218093,price,2017-01-07 23:00:00,year_ahead
2017-01-13 23:00:00,52.91263184580053,price,2017-01-07 23:00:00,year_ahead
2017-01-14 00:00:00,47.882454639741745,price,2017-01-07 23:00:00,year_ahead
2017-01-14 01:00:00,43.70522264041438,price,2017-01-07 23:00:00,year_ahead
2017-01-14 02:00:00,41.053990473569854,price,2017-01-07 23:00:00,year_ahead
2017-01-14 03:00:00,41.05988342494635,price,2017-01-07 23:00:00,year_ahead
2017-01-14 04:00:00,44.27115215520661,price,2017-01-07 23:00:00,year_ahead
2017-01-14 05:00:00,49.795629101891926,price,2017-01-07 23:00:00,year_ahead
2017-01-14 06:00:00,55.57827407993461,price,2017-01-07 23:00:00,year_ahead
2017-01-14 07:00:00,59.66540626840347,price,2017-01-07 23:00:00,year_ahead
2017-01-14 08:00:00,61.338363149954596,price,2017-01-07 23:00:00,year_ahead
2017-01-14 09:00:00,61.13957045785031,price,2017-01-07 23:00:00,year_ahead
2017-01-14 10:00:00,59.91654618093452,price,2017-01-07 23:00:00,year_ahead
2017-01-14 11:00:00,57.95369404974107,price,2017-01-07 23:00:00,year_ahead
2017-01-14 12:00:00,55.090408894131606,price,2017-01-07 23:00:00,year_ahead
2017-01-14 13:00:00,51.61736131924298,price,2017-01-07 23:00:00,year_ahead
2017-01-14 14:00:00,48.844231140317916,price,2017-01-07 23:00:00,year_ahead
2017-01-14 15:00:00,48.49221325604739,price,2017-01-07 23:00:00,year_ahead
2017-01-14 16:00:00,51.26489585957169,price,2017-01-07 23:00:00,year_ahead
2017-01-14 17:00:00,55.897535986720975,price,2017-01-07 23:00:00,year_ahead
2017-01-14 18:00:00,59.692212637047234,price,2017-01-07 23:00:00,year_ahead
2017-01-14 19:00:00,60.237048265719,price,2017-01-07 23:00:00,year_ahead
2017-01-14 20:00:00,56.91971109770732,price,2017-01-07 23:00:00,year_ahead
2017-01-14 21:00:00,51.027451103249355,price,2017-01-07 23:00:00,year_ahead
2017-01-14 22:00:00,44.5067634847161,price,2017-01-07 23:00:00,year_ahead
2017-01-14 23:00:00,38.60964147054152,price,2017-01-07 23:00:00,year_ahead
2017-01-15 00:00:00,33.59931360677142,price,2017-01-07 23:00:00,year_ahead
2017-01-15 01:00:00,29.538162352816002,price,2017-01-07 23:00:00,year_ahead
2017-01-15 02:00:00,27.104019923248334,price,2017-01-07 23:00:00,year_ahead
2017-01-15 03:00:00,27.43381124883593,price,2017-01-07 23:00:00,year_ahead
2017-01-15 04:00:00,31.078312883233924,price,2017-01-07 23:00:00,year_ahead
2017-01-15 05:00:00,37.14107902334085,price,2017-01-07 23:00:00,year_ahead
2017-01-15 06:00:00,43.55712094576285,price,2017-01-07 23:00:00,year_ahead
2017-01-15 07:00:00,48.36232371425606,price,2017-01-07 23:00:00,year_ahead
2017-01-15 08:00:00,50.83175971988393,price,2017-01-07 23:00:00,year_ahead
2017-01-15 09:00:00,51.505882569440956,price,2017-01-07 23:00:00,year_ahead
2017-01-15 10:00:00,51.230643586860545,price,2017-01-07 23:00:00,year_ahead
2017-01-15 11:00:00,50.28577070434444,price,2017-01-07 23:00:00,year_ahead
2017-01-15 12:00:00,48.5034090964852,price,2017-01-07 23:00:00,year_ahead
2017-01-15 13:00:00,46.16813389583399,price,2017-01-07 23:00:00,year_ahead
2017-01-15 14:00:00,44.58707153699643,price,2017-01-07 23:00:00,year_ahead
2017-01-15 15:00:00,45.47999049846868,price,2017-01-07 23:00:00,year_ahead
2017-01-15 16:00:00,49.54441263432045,price,2017-01-07 23:00:00,year_ahead
