ds,yhat,target,forecast_origin,horizon
2017-01-08 00:00:00,-38.959024345450814,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 01:00:00,-36.65197421507588,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 02:00:00,-32.07274386996629,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 03:00:00,-32.285297808993604,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 04:00:00,-37.948877322748444,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 05:00:00,-38.53352760341849,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 06:00:00,-18.97696170944826,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 07:00:00,27.471017407463734,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 08:00:00,92.01881247520762,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 09:00:00,155.59403747980713,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 10:00:00,201.81543899685596,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 11:00:00,225.93162529361712,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 12:00:00,232.45483122616264,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 13:00:00,225.52001892731974,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 14:00:00,202.823273328223,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 15:00:00,159.6402134315341,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 16:00:00,98.46502827904162,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 17:00:00,33.44467369596667,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 18:00:00,-16.429970347574383,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 19:00:00,-40.16718251777175,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 20:00:00,-42.007136177693624,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 21:00:00,-36.33562947023378,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 22:00:00,-35.12603538575125,solar,2017-01-07 23:00:00,year_ahead
2017-01-08 23:00:00,-39.5700386992134,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 00:00:00,-42.972525801403975,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 01:00:00,-40.676759944987595,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 02:00:00,-36.06716910373456,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 03:00:00,-36.20836871778917,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 04:00:00,-41.76075147258044,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 05:00:00,-42.19599769769681,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 06:00:00,-22.45391662131094,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 07:00:00,24.21316000591328,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 08:00:00,89.0107072390576,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 09:00:00,152.86305111721344,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 10:00:00,199.3853330547971,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 11:00:00,223.82228581320362,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 12:00:00,230.6820485051091,solar,2017-01-07 23:00:00,year_ahead
2017-01-09 13:00:00,224.09532003465557,solar,2017-01-07 23:00:00,year_ahead
