ds,yhat,target,forecast_origin,horizon
2017-01-08 00:00:00,1826.7119362420312,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 01:00:00,1823.3090581339807,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 02:00:00,1819.517709035043,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 03:00:00,1817.3214876093734,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 04:00:00,1816.6847315396103,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 05:00:00,1810.2576005513233,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 06:00:00,1783.94776961816,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 07:00:00,1726.1285304198648,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 08:00:00,1639.2030199396827,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 09:00:00,1543.0348068237163,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 10:00:00,1465.4489189826559,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 11:00:00,1426.0743978119142,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 12:00:00,1426.0357598721073,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 13:00:00,1451.289208543506,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 14:00:00,1485.7938355225253,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 15:00:00,1522.7660820744848,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 16:00:00,1565.070646421617,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 17:00:00,1616.3198006288665,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 18:00:00,1672.430503843082,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 19:00:00,1721.8665802934784,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 20:00:00,1753.749234289479,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 21:00:00,1765.6008903900677,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 22:00:00,1763.6358204866704,wind,2017-01-07 23:00:00,year_ahead
2017-01-08 23:00:00,1756.35838185072,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 00:00:00,1748.4589021234083,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 01:00:00,1740.4971698969875,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 02:00:00,1732.8094148043451,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 03:00:00,1727.3615443511849,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 04:00:00,1724.0950545016688,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 05:00:00,1715.6326398745211,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 06:00:00,1687.8504548149072,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 07:00:00,1629.0868151758286,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 08:00:00,1541.7070511576458,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 09:00:00,1445.5347331690161,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 10:00:00,1368.3533452538716,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 11:00:00,1329.7494828190538,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 12:00:00,1330.8049468613067,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 13:00:00,1357.4335687796647,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 14:00:00,1393.552997733283,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 15:00:00,1432.3397129204986,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 16:00:00,1476.620440178951,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 17:00:00,1529.971929998431,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 18:00:00,1588.2784782177123,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 19:00:00,1639.9744530540981,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 20:00:00,1674.1550967779506,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 21:00:00,1688.3205871984417,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 22:00:00,1688.6668186474924,wind,2017-01-07 23:00:00,year_ahead
2017-01-09 23:00:00,1683.6837253802146,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 00:00:00,1678.0511832435373,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 01:00:00,1672.3224490710618,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 02:00:00,1666.83102352075,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 03:00:00,1663.5437072417676,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 04:00:00,1662.4062709941647,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 05:00:00,1656.0487699541006,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 06:00:00,1630.3574586429806,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 07:00:00,1573.6831021631674,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 08:00:00,1488.4054005780413,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 09:00:00,1394.3637553118838,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 10:00:00,1319.3584596330331,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 11:00:00,1282.9933975801625,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 12:00:00,1286.3676314840452,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 13:00:00,1315.411720265482,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 14:00:00,1354.0590084574274,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 15:00:00,1395.5001562362875,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 16:00:00,1442.5740976133677,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 17:00:00,1498.8673911570802,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 18:00:00,1560.2713515014493,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 19:00:00,1615.2242316853599,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 20:00:00,1652.821730389667,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 21:00:00,1670.5608143058453,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 22:00:00,1674.630319705037,wind,2017-01-07 23:00:00,year_ahead
2017-01-10 23:00:00,1673.5091595210029,wind,2017-01-07 23:00:00,year_ahead
