,Earnings,Contract Revenue,Electricity Cost,PPA cost
2015,32392426.44566036,131900000.0,-14213762.327029027,113721335.88136867
2016,30159053.572546534,131960000.00000001,-10966905.060886955,112767851.48834044
2017,34233813.79203108,131895499.58390011,-13063067.624003198,110724753.41587223
2018,33328156.760291405,131900000.0,-10068885.496339237,108640728.73604783
2019,31983130.863974653,131900000.00000001,-13860298.568679666,113777167.70470503
2020,31625907.34665481,131918425.45305906,-6191447.730889985,106483965.83729424
2021,53842392.55312729,131900000.0,-32856355.268045183,110913962.7149179
2022,57930897.86947475,131900000.0,-35155336.96158784,109124439.09211309
2023,37195237.57802992,131900000.00000001,-15112563.415761372,109817325.83773147
2024,36054851.629665546,131960000.00000001,-17340408.7318333,113245557.10216777
