,Earnings,Contract Revenue,Electricity Cost,PPA cost
2015,20208962.782233454,131900000.0,-50991719.42269496,162682756.6404615
2016,10277210.667175181,131960000.0,-40144380.84027854,161827170.17310336
2017,25962624.7774627,131897506.88188733,-52279691.701947294,158214573.80637193
2018,26365287.658946447,131899999.99999999,-51703738.37465338,157238450.7157069
2019,17476883.436737455,131900000.0,-50745215.79885156,165168332.3621141
2020,10188001.881554838,131930948.2782483,-31285217.82120357,153028164.21789703
2021,107125180.0230575,131899999.99999996,-135464192.22610453,160239012.20304698
2022,139742369.76332802,131899999.99999999,-165293074.91297054,157450705.14964253
2023,51764373.396720245,131900000.0,-77842853.2141455,157978479.81742525
2024,34957417.38066587,131960000.0,-68502313.13175946,165504895.7510936
