,wind,solar,price
2024-01-01 00:00:00+00:00,0.249,1.55e-06,87.9
2024-01-01 01:00:00+00:00,0.2458,0.0,107.4
2024-01-01 02:00:00+00:00,0.2527,0.0,114.0
2024-01-01 03:00:00+00:00,0.2478,0.0,101.4
2024-01-01 04:00:00+00:00,0.3237,1.9e-06,102.56
2024-01-01 05:00:00+00:00,0.3774,5.8e-06,112.8
2024-01-01 06:00:00+00:00,0.3884,1.115e-05,108.0
2024-01-01 07:00:00+00:00,0.4148,0.001642,98.2
2024-01-01 08:00:00+00:00,0.42,0.0668,86.1
2024-01-01 09:00:00+00:00,0.5034,0.203,68.94
2024-01-01 10:00:00+00:00,0.5117,0.2834,53.16
2024-01-01 11:00:00+00:00,0.4854,0.3916,49.0
2024-01-01 12:00:00+00:00,0.448,0.3916,75.4
2024-01-01 13:00:00+00:00,0.4495,0.3386,69.06
2024-01-01 14:00:00+00:00,0.4358,0.287,92.3
2024-01-01 15:00:00+00:00,0.4336,0.2756,82.75
2024-01-01 16:00:00+00:00,0.4897,0.1744,87.9
2024-01-01 17:00:00+00:00,0.47,0.03827,113.8
2024-01-01 18:00:00+00:00,0.449,3.8e-05,147.1
2024-01-01 19:00:00+00:00,0.4407,3.46e-05,162.6
2024-01-01 20:00:00+00:00,0.4248,3.4e-05,151.1
2024-01-01 21:00:00+00:00,0.4019,3.46e-05,126.56
2024-01-01 22:00:00+00:00,0.1885,2.09e-05,146.5
2024-01-01 23:00:00+00:00,0.1833,1.37e-05,129.2
2024-01-02 00:00:00+00:00,0.1686,0.0,154.2
2024-01-02 01:00:00+00:00,0.159,0.0,149.2
2024-01-02 02:00:00+00:00,0.1343,0.0,125.9
2024-01-02 03:00:00+00:00,0.1186,0.0,107.56
2024-01-02 04:00:00+00:00,0.0826,9e-07,134.8
2024-01-02 05:00:00+00:00,0.0899,0.0,155.9
2024-01-02 06:00:00+00:00,0.0745,0.0,161.8
2024-01-02 07:00:00+00:00,0.02968,3.64e-05,168.9
2024-01-02 08:00:00+00:00,0.07306,0.01052,137.9
2024-01-02 09:00:00+00:00,0.10315,0.0384,145.6
2024-01-02 10:00:00+00:00,0.1421,0.0713,136.4
2024-01-02 11:00:00+00:00,0.1294,0.11053,155.9
2024-01-02 12:00:00+00:00,0.09644,0.1217,152.8
2024-01-02 13:00:00+00:00,0.11383,0.1478,136.4
2024-01-02 14:00:00+00:00,0.1185,0.1605,148.0
2024-01-02 15:00:00+00:00,0.11816,0.10974,145.9
2024-01-02 16:00:00+00:00,0.0939,0.09515,165.0
2024-01-02 17:00:00+00:00,0.07385,0.01811,175.0
2024-01-02 18:00:00+00:00,0.0434,1.717e-05,171.0
