,wind,solar,price
2024-01-01 00,0.2490,0.0000,87.8750
2024-01-01 01,0.2458,0.0000,107.3750
2024-01-01 02,0.2527,0.0000,114.0000
2024-01-01 03,0.2478,0.0000,101.3750
2024-01-01 04,0.3237,0.0000,102.5625
2024-01-01 05,0.3774,0.0000,112.8125
2024-01-01 06,0.3884,0.0000,108.0000
2024-01-01 07,0.4148,0.0016,98.1875
2024-01-01 08,0.4199,0.0668,86.1250
2024-01-01 09,0.5034,0.2030,68.9375
2024-01-01 10,0.5117,0.2834,53.1562
2024-01-01 11,0.4854,0.3916,49.0000
2024-01-01 12,0.4480,0.3916,75.3750
2024-01-01 13,0.4495,0.3386,69.0625
2024-01-01 14,0.4358,0.2871,92.3125
2024-01-01 15,0.4336,0.2756,82.7500
2024-01-01 16,0.4897,0.1744,87.8750
2024-01-01 17,0.4700,0.0383,113.8125
2024-01-01 18,0.4490,0.0000,147.1250
2024-01-01 19,0.4407,0.0000,162.6250
2024-01-01 20,0.4248,0.0000,151.1250
2024-01-01 21,0.4019,0.0000,126.5625
2024-01-01 22,0.1885,0.0000,146.5000
2024-01-01 23,0.1833,0.0000,129.2500
2024-01-02 00,0.1686,0.0000,154.2500
2024-01-02 01,0.1591,0.0000,149.2500
2024-01-02 02,0.1343,0.0000,125.8750
2024-01-02 03,0.1186,0.0000,107.5625
2024-01-02 04,0.0826,0.0000,134.7500
2024-01-02 05,0.0899,0.0000,155.8750
2024-01-02 06,0.0745,0.0000,161.7500
2024-01-02 07,0.0297,0.0000,168.8750
2024-01-02 08,0.0731,0.0105,137.8750
2024-01-02 09,0.1031,0.0384,145.6250
2024-01-02 10,0.1421,0.0713,136.3750
2024-01-02 11,0.1294,0.1105,155.8750
2024-01-02 12,0.0964,0.1217,152.7500
2024-01-02 13,0.1138,0.1478,136.3750
2024-01-02 14,0.1185,0.1605,148.0000
2024-01-02 15,0.1182,0.1097,145.8750
2024-01-02 16,0.0939,0.0952,165.0000
2024-01-02 17,0.0739,0.0181,175.0000
2024-01-02 18,0.0434,0.0000,171.0000
2024-01-02 19,0.0335,0.0000,173.7500
2024-01-02 20,0.0300,0.0000,179.2500
2024-01-02 21,0.0207,0.0000,168.7500
2024-01-02 22,0.0032,0.0000,163.5000
2024-01-02 23,0.0025,0.0000,135.5000
2024-01-03 00,0.0822,0.0000,125.5625
2024-01-03 01,0.1119,0.0000,113.6250
2024-01-03 02,0.0660,0.0000,122.6875
2024-01-03 03,0.0654,0.0000,144.6250
2024-01-03 04,0.0369,0.0000,173.6250
2024-01-03 05,0.0423,0.0000,165.1250
2024-01-03 06,0.0537,0.0000,168.6250
2024-01-03 07,0.1359,0.0013,142.2500
2024-01-03 08,0.1509,0.0398,139.2500
2024-01-03 09,0.0328,0.1670,145.7500
2024-01-03 10,0.0345,0.2781,153.8750
2024-01-03 11,0.0496,0.2786,160.6250
2024-01-03 12,0.1349,0.3167,169.1250
2024-01-03 13,0.1406,0.3567,172.6250
2024-01-03 14,0.1698,0.3699,166.0000
2024-01-03 15,0.2080,0.2737,161.0000
2024-01-03 16,0.2255,0.1808,145.6250
2024-01-03 17,0.0970,0.0245,178.5000
2024-01-03 18,0.0736,0.0000,170.7500
2024-01-03 19,0.0677,0.0000,190.1250
2024-01-03 20,0.0553,0.0000,175.6250
2024-01-03 21,0.0055,0.0001,158.0000
2024-01-03 22,0.0047,0.0000,123.5625
2024-01-03 23,0.0286,0.0000,118.2500
2024-01-04 00,0.0423,0.0000,112.7500
2024-01-04 01,0.0731,0.0000,125.1250
2024-01-04 02,0.1151,0.0000,127.6250
2024-01-04 03,0.1115,0.0000,120.5625
2024-01-04 04,0.1470,0.0000,134.1250
2024-01-04 05,0.1476,0.0000,146.1250
2024-01-04 06,0.1588,0.0000,149.8750
2024-01-04 07,0.1991,0.0019,39.3125
2024-01-04 08,0.1953,0.0946,14.4453
